ToolName,ModelName,Strength,TimeSeconds,Size,ErrorType
kali,MCA_6,3,41.36,2675,
pmedici,MCA_6,3,35.05,2355,
kali,MCAC_12,3,301.0,0,Timeout
caopt,FM_4,3,0.36,18,
acts,FM_4,3,0.72,19,
cagen,FM_4,3,0.0,19,
kali,FM_4,3,2.49,3,Invalid
medici,FM_4,3,1.27,20,
pmedici,FM_4,3,2.3,19,
caopt,INDUSTRIAL_3,3,9.5,171,
acts,INDUSTRIAL_3,3,0.84,170,
cagen,INDUSTRIAL_3,3,0.01,170,
kali,INDUSTRIAL_3,3,2.96,19,Invalid
medici,INDUSTRIAL_3,3,51.37,170,
pmedici,INDUSTRIAL_3,3,2.62,170,
caopt,MCA_5,3,296.0,5396,
acts,MCA_5,3,0.82,3571,
cagen,MCA_5,3,0.03,3272,
kali,MCA_5,3,83.53,4917,
pmedici,MCA_5,3,68.0,5027,
caopt,HIGHLY_CONSTRAINED_4,3,0.31,3,
acts,HIGHLY_CONSTRAINED_4,3,0.76,1,
cagen,HIGHLY_CONSTRAINED_4,3,0.0,1,
kali,HIGHLY_CONSTRAINED_4,3,2.37,0,Timeout
medici,HIGHLY_CONSTRAINED_4,3,0.04,1,
pmedici,HIGHLY_CONSTRAINED_4,3,2.12,1,
caopt,BOOLC_24,3,31.1,64,
acts,BOOLC_24,3,1.11,33,
cagen,BOOLC_24,3,0.03,30,
kali,BOOLC_24,3,3.54,36,Invalid
medici,BOOLC_24,3,2.63,33,
pmedici,BOOLC_24,3,2.65,35,
caopt,MCA_16,3,297.44,9020,
acts,MCA_16,3,1.53,4968,
cagen,MCA_16,3,0.15,4943,
kali,MCA_16,3,301.0,0,Timeout
caopt,MCAC_19,3,124.76,1040,
acts,MCAC_19,3,0.99,1030,
cagen,MCAC_19,3,0.04,1039,
kali,MCAC_19,3,3.26,3,Invalid
pmedici,MCAC_19,3,63.19,1049,
caopt,UNIFORM_BOOLEAN_11,3,0.75,17,
acts,UNIFORM_BOOLEAN_11,3,0.29,20,
cagen,UNIFORM_BOOLEAN_11,3,0.0,20,
kali,UNIFORM_BOOLEAN_11,3,2.24,31,
medici,UNIFORM_BOOLEAN_11,3,1.13,16,
pmedici,UNIFORM_BOOLEAN_11,3,1.91,25,
caopt,CNF_20,3,296.5,6371,
acts,CNF_20,3,2.77,4625,
cagen,CNF_20,3,0.18,4483,
kali,CNF_20,3,301.0,0,Timeout
caopt,NUMC_23,3,293.28,306,
acts,NUMC_23,3,1.9,265,
cagen,NUMC_23,3,0.74,269,
kali,NUMC_23,3,3.31,1,Invalid
medici,NUMC_23,3,0.84,91,Invalid
acts,UNIFORM_ALL_8,3,4.2,7151,
cagen,UNIFORM_ALL_8,3,0.27,5907,
kali,UNIFORM_ALL_8,3,301.0,0,Timeout
caopt,NUMC_14,3,131.33,25,
acts,NUMC_14,3,39.26,24,
cagen,NUMC_14,3,146.72,24,
kali,NUMC_14,3,3.98,1,Invalid
medici,NUMC_14,3,0.0,3,Invalid
caopt,UNIFORM_BOOLEAN_6,3,5.27,24,
acts,UNIFORM_BOOLEAN_6,3,0.33,28,
cagen,UNIFORM_BOOLEAN_6,3,0.0,28,
kali,UNIFORM_BOOLEAN_6,3,2.24,36,
medici,UNIFORM_BOOLEAN_6,3,2.61,26,
pmedici,UNIFORM_BOOLEAN_6,3,2.07,36,
caopt,INDUSTRIAL_8,3,1.18,55,
acts,INDUSTRIAL_8,3,0.83,68,
cagen,INDUSTRIAL_8,3,0.0,68,
kali,INDUSTRIAL_8,3,3.22,71,Invalid
medici,INDUSTRIAL_8,3,4.94,49,Invalid
pmedici,INDUSTRIAL_8,3,2.29,54,
caopt,FM_8,3,0.56,26,
acts,FM_8,3,0.59,22,
cagen,FM_8,3,0.0,22,
kali,FM_8,3,2.41,13,Invalid
medici,FM_8,3,0.55,22,
pmedici,FM_8,3,2.06,25,
caopt,BOOLC_13,3,3.2,20,
acts,BOOLC_13,3,0.92,20,
cagen,BOOLC_13,3,0.0,20,
kali,BOOLC_13,3,2.93,23,Invalid
medici,BOOLC_13,3,1.76,18,
pmedici,BOOLC_13,3,2.6,29,
caopt,BOOLC_23,3,1.78,30,
acts,BOOLC_23,3,0.57,20,
cagen,BOOLC_23,3,0.0,18,
kali,BOOLC_23,3,2.39,46,Invalid
medici,BOOLC_23,3,1.06,17,
pmedici,BOOLC_23,3,2.06,32,
caopt,BOOLC_1,3,3.48,25,
acts,BOOLC_1,3,0.55,28,
cagen,BOOLC_1,3,0.0,26,
kali,BOOLC_1,3,2.41,38,
medici,BOOLC_1,3,2.57,24,
pmedici,BOOLC_1,3,2.05,37,
caopt,BOOLC_25,3,6.77,45,
acts,BOOLC_25,3,1.05,32,
cagen,BOOLC_25,3,0.01,33,
kali,BOOLC_25,3,3.43,49,Invalid
medici,BOOLC_25,3,3.48,33,
pmedici,BOOLC_25,3,2.47,41,
caopt,HIGHLY_CONSTRAINED_15,3,293.4,1092,
acts,HIGHLY_CONSTRAINED_15,3,1.65,1058,
cagen,HIGHLY_CONSTRAINED_15,3,0.09,1062,
kali,HIGHLY_CONSTRAINED_15,3,5.69,89,Invalid
medici,HIGHLY_CONSTRAINED_15,3,134.59,1060,
pmedici,HIGHLY_CONSTRAINED_15,3,57.62,1876,Invalid
caopt,INDUSTRIAL_11,3,1.98,58,
acts,INDUSTRIAL_11,3,0.57,66,
cagen,INDUSTRIAL_11,3,0.0,67,
kali,INDUSTRIAL_11,3,2.54,53,Invalid
medici,INDUSTRIAL_11,3,6.1,61,
pmedici,INDUSTRIAL_11,3,2.03,72,
caopt,MCAC_21,3,295.97,2627,
acts,MCAC_21,3,7.27,2414,
cagen,MCAC_21,3,37.72,2410,
kali,MCAC_21,3,4.0,0,Timeout
caopt,NUMC_19,3,297.3,7847,
kali,NUMC_19,3,301.0,0,Timeout
medici,NUMC_19,3,0.0,9,Invalid
caopt,CNF_17,3,293.66,2330,
acts,CNF_17,3,1.71,1971,
cagen,CNF_17,3,0.09,1948,
kali,CNF_17,3,8.05,8,Invalid
caopt,FM_9,3,0.97,33,
acts,FM_9,3,0.62,32,
cagen,FM_9,3,0.0,34,
kali,FM_9,3,2.45,5,Invalid
medici,FM_9,3,3.86,35,
pmedici,FM_9,3,2.36,38,
caopt,BOOLC_17,3,7.09,23,
acts,BOOLC_17,3,1.0,19,
cagen,BOOLC_17,3,0.01,20,
kali,BOOLC_17,3,2.53,5,Invalid
medici,BOOLC_17,3,1.34,18,
pmedici,BOOLC_17,3,2.33,22,
caopt,HIGHLY_CONSTRAINED_28,3,0.69,31,
acts,HIGHLY_CONSTRAINED_28,3,1.13,16,
cagen,HIGHLY_CONSTRAINED_28,3,0.03,16,
kali,HIGHLY_CONSTRAINED_28,3,2.88,1,Invalid
medici,HIGHLY_CONSTRAINED_28,3,0.95,16,
pmedici,HIGHLY_CONSTRAINED_28,3,3.08,16,
caopt,FM_5,3,2.89,26,
acts,FM_5,3,1.04,36,
cagen,FM_5,3,0.02,33,
kali,FM_5,3,4.65,9,Invalid
medici,FM_5,3,6.35,34,
pmedici,FM_5,3,9.25,51,
caopt,MCA_29,3,293.36,1899,
acts,MCA_29,3,0.49,1898,
cagen,MCA_29,3,0.01,1893,
kali,MCA_29,3,15.24,2051,
medici,MCA_29,3,210.07,1890,
pmedici,MCA_29,3,9.62,1933,
caopt,BOOLC_14,3,0.28,11,
acts,BOOLC_14,3,0.95,6,
cagen,BOOLC_14,3,0.0,6,
kali,BOOLC_14,3,2.4,3,Invalid
medici,BOOLC_14,3,0.36,6,
pmedici,BOOLC_14,3,2.2,6,
caopt,INDUSTRIAL_6,3,13.38,95,
acts,INDUSTRIAL_6,3,0.65,100,
cagen,INDUSTRIAL_6,3,0.01,110,
kali,INDUSTRIAL_6,3,2.94,39,Invalid
medici,INDUSTRIAL_6,3,12.6,109,
pmedici,INDUSTRIAL_6,3,2.41,137,
caopt,MCAC_20,3,295.9,2409,
kali,MCAC_20,3,5.79,8,Invalid
medici,MCAC_20,3,254.47,1903,
caopt,MCA_3,3,296.55,6690,
acts,MCA_3,3,1.15,3953,
cagen,MCA_3,3,0.07,3899,
kali,MCA_3,3,201.24,5624,Invalid
pmedici,MCA_3,3,192.34,5517,
caopt,MCAC_16,3,293.35,1495,
acts,MCAC_16,3,0.94,1473,
cagen,MCAC_16,3,0.02,1468,
kali,MCAC_16,3,7.3,130,Invalid
medici,MCAC_16,3,226.43,1460,
pmedici,MCAC_16,3,25.78,1475,
caopt,MCA_25,3,293.37,2008,
acts,MCA_25,3,0.5,1962,
cagen,MCA_25,3,0.01,1963,
kali,MCA_25,3,14.63,2364,
medici,MCA_25,3,159.92,1968,
pmedici,MCA_25,3,12.01,2248,
caopt,INDUSTRIAL_0,3,40.19,49,
acts,INDUSTRIAL_0,3,0.73,69,
cagen,INDUSTRIAL_0,3,0.03,67,
kali,INDUSTRIAL_0,3,6.66,133,Invalid
medici,INDUSTRIAL_0,3,26.37,63,
pmedici,INDUSTRIAL_0,3,3.61,75,
caopt,HIGHLY_CONSTRAINED_11,3,4.7,5,
acts,HIGHLY_CONSTRAINED_11,3,8.48,2,
cagen,HIGHLY_CONSTRAINED_11,3,0.25,2,
kali,HIGHLY_CONSTRAINED_11,3,3.49,0,Timeout
medici,HIGHLY_CONSTRAINED_11,3,0.53,2,
pmedici,HIGHLY_CONSTRAINED_11,3,5.44,2,
caopt,MCA_2,3,293.28,736,
acts,MCA_2,3,0.54,730,
cagen,MCA_2,3,0.02,728,
kali,MCA_2,3,7.69,886,
medici,MCA_2,3,63.05,724,
pmedici,MCA_2,3,6.91,861,
caopt,CNF_28,3,293.58,2692,
acts,CNF_28,3,1.2,2625,
cagen,CNF_28,3,0.04,2606,
kali,CNF_28,3,3.28,0,Timeout
medici,CNF_28,3,266.83,2603,
pmedici,CNF_28,3,68.98,3252,Invalid
caopt,MCAC_2,3,296.44,5123,
acts,MCAC_2,3,172.3,3707,
cagen,MCAC_2,3,266.53,3543,
kali,MCAC_2,3,246.46,0,Timeout
caopt,HIGHLY_CONSTRAINED_8,3,295.97,3947,
acts,HIGHLY_CONSTRAINED_8,3,25.82,2767,
cagen,HIGHLY_CONSTRAINED_8,3,9.51,2778,
kali,HIGHLY_CONSTRAINED_8,3,14.25,50,Invalid
caopt,HIGHLY_CONSTRAINED_6,3,17.0,361,
acts,HIGHLY_CONSTRAINED_6,3,4.6,342,
cagen,HIGHLY_CONSTRAINED_6,3,0.97,342,
kali,HIGHLY_CONSTRAINED_6,3,3.04,0,Timeout
medici,HIGHLY_CONSTRAINED_6,3,106.92,342,
pmedici,HIGHLY_CONSTRAINED_6,3,45.19,342,
caopt,NUMC_7,3,293.41,1467,
acts,NUMC_7,3,0.94,1457,
cagen,NUMC_7,3,0.02,1445,
kali,NUMC_7,3,8.87,891,Invalid
medici,NUMC_7,3,0.0,9,Invalid
caopt,UNIFORM_BOOLEAN_8,3,0.56,13,
acts,UNIFORM_BOOLEAN_8,3,0.28,16,
cagen,UNIFORM_BOOLEAN_8,3,0.0,16,
kali,UNIFORM_BOOLEAN_8,3,2.11,28,
medici,UNIFORM_BOOLEAN_8,3,0.12,14,
pmedici,UNIFORM_BOOLEAN_8,3,1.93,30,
caopt,UNIFORM_ALL_13,3,293.39,1127,
acts,UNIFORM_ALL_13,3,0.61,1017,
cagen,UNIFORM_ALL_13,3,0.02,960,
kali,UNIFORM_ALL_13,3,24.17,1348,
medici,UNIFORM_ALL_13,3,261.88,967,
pmedici,UNIFORM_ALL_13,3,25.49,1344,
caopt,FM_7,3,0.2,5,
acts,FM_7,3,0.49,2,
cagen,FM_7,3,0.0,2,
kali,FM_7,3,2.14,2,
medici,FM_7,3,0.0,2,
pmedici,FM_7,3,1.91,2,
acts,NUMC_20,3,2.1,4297,
cagen,NUMC_20,3,0.18,4268,
kali,NUMC_20,3,301.0,0,Timeout
medici,NUMC_20,3,0.15,49,Invalid
caopt,CNF_24,3,256.43,1179,
acts,CNF_24,3,0.72,1179,
cagen,CNF_24,3,0.02,1184,
kali,CNF_24,3,6.54,243,Invalid
medici,CNF_24,3,141.87,1176,
pmedici,CNF_24,3,6.08,1237,
caopt,UNIFORM_ALL_3,3,293.23,209,
acts,UNIFORM_ALL_3,3,0.44,212,
cagen,UNIFORM_ALL_3,3,0.01,233,
kali,UNIFORM_ALL_3,3,6.3,312,
medici,UNIFORM_ALL_3,3,40.01,222,
pmedici,UNIFORM_ALL_3,3,5.24,291,
caopt,HIGHLY_CONSTRAINED_9,3,293.62,2852,
acts,HIGHLY_CONSTRAINED_9,3,1.12,2386,
cagen,HIGHLY_CONSTRAINED_9,3,0.04,2371,
kali,HIGHLY_CONSTRAINED_9,3,55.92,2641,Invalid
pmedici,HIGHLY_CONSTRAINED_9,3,42.3,3521,
acts,UNIFORM_ALL_10,3,4.04,9933,
cagen,UNIFORM_ALL_10,3,0.33,9905,
kali,UNIFORM_ALL_10,3,301.0,0,Timeout
acts,UNIFORM_ALL_14,3,3.14,6739,
cagen,UNIFORM_ALL_14,3,0.22,5834,
kali,UNIFORM_ALL_14,3,301.0,0,Timeout
caopt,MCAC_8,3,295.59,1174,
acts,MCAC_8,3,127.5,727,
kali,MCAC_8,3,8.78,11,Invalid
medici,MCAC_8,3,80.2,722,
caopt,HIGHLY_CONSTRAINED_0,3,296.14,5002,
acts,HIGHLY_CONSTRAINED_0,3,2.38,3649,
cagen,HIGHLY_CONSTRAINED_0,3,0.11,3614,
kali,HIGHLY_CONSTRAINED_0,3,114.15,896,Invalid
pmedici,HIGHLY_CONSTRAINED_0,3,108.9,4400,
caopt,FM_3,3,9.18,29,
acts,FM_3,3,0.8,37,
cagen,FM_3,3,0.01,36,
kali,FM_3,3,8.07,77,Invalid
medici,FM_3,3,4.37,35,
pmedici,FM_3,3,3.23,43,
caopt,MCA_26,3,293.59,2485,
acts,MCA_26,3,0.62,2189,
cagen,MCA_26,3,0.03,2143,
kali,MCA_26,3,43.11,2987,
pmedici,MCA_26,3,39.52,3214,
caopt,BOOLC_8,3,0.27,9,
acts,BOOLC_8,3,1.33,4,
cagen,BOOLC_8,3,0.08,4,
kali,BOOLC_8,3,2.55,2,Invalid
medici,BOOLC_8,3,0.6,4,
pmedici,BOOLC_8,3,2.4,4,
caopt,NUMC_4,3,297.33,5162,
acts,NUMC_4,3,11.29,3321,
cagen,NUMC_4,3,156.61,3335,
kali,NUMC_4,3,11.4,0,Timeout
medici,NUMC_4,3,0.18,0,Timeout
caopt,MCA_11,3,293.28,1096,
acts,MCA_11,3,0.4,1082,
cagen,MCA_11,3,0.01,1090,
kali,MCA_11,3,8.29,1277,
medici,MCA_11,3,135.14,1093,
pmedici,MCA_11,3,5.99,1252,
caopt,CNF_27,3,293.65,2557,
acts,CNF_27,3,2.2,2515,
cagen,CNF_27,3,0.09,2528,
kali,CNF_27,3,15.79,27,Invalid
caopt,HIGHLY_CONSTRAINED_3,3,296.17,4088,
kali,HIGHLY_CONSTRAINED_3,3,193.76,654,Invalid
caopt,BOOLC_6,3,13.09,43,
acts,BOOLC_6,3,0.91,25,
cagen,BOOLC_6,3,0.01,25,
kali,BOOLC_6,3,2.52,61,Invalid
medici,BOOLC_6,3,2.46,23,
pmedici,BOOLC_6,3,2.13,36,
caopt,NUMC_13,3,296.29,4937,
acts,NUMC_13,3,2.7,2754,
cagen,NUMC_13,3,0.11,2766,
kali,NUMC_13,3,200.36,4221,Invalid
medici,NUMC_13,3,0.0,19,Invalid
caopt,NUMC_24,3,297.11,4758,
kali,NUMC_24,3,6.39,0,Timeout
medici,NUMC_24,3,0.0,9,Invalid
caopt,MCA_19,3,293.49,2444,
acts,MCA_19,3,0.53,2379,
cagen,MCA_19,3,0.02,2370,
kali,MCA_19,3,23.19,2726,
medici,MCA_19,3,256.96,2369,
pmedici,MCA_19,3,21.35,2821,
caopt,UNIFORM_BOOLEAN_1,3,2.97,21,
acts,UNIFORM_BOOLEAN_1,3,0.32,26,
cagen,UNIFORM_BOOLEAN_1,3,0.0,24,
kali,UNIFORM_BOOLEAN_1,3,2.32,36,
medici,UNIFORM_BOOLEAN_1,3,2.19,23,
pmedici,UNIFORM_BOOLEAN_1,3,2.09,32,
caopt,NUMC_28,3,220.01,686,
acts,NUMC_28,3,1.26,629,
cagen,NUMC_28,3,0.02,628,
kali,NUMC_28,3,3.28,21,Invalid
medici,NUMC_28,3,0.0,3,Invalid
caopt,MCAC_23,3,293.58,2316,
acts,MCAC_23,3,1.19,2007,
cagen,MCAC_23,3,0.05,1953,
kali,MCAC_23,3,91.18,454,Invalid
pmedici,MCAC_23,3,191.55,2634,
caopt,CNF_10,3,293.41,1847,
acts,CNF_10,3,0.93,1840,
cagen,CNF_10,3,0.02,1830,
kali,CNF_10,3,20.34,281,Invalid
medici,CNF_10,3,226.25,1838,
pmedici,CNF_10,3,47.65,2068,
caopt,MCAC_1,3,296.3,4587,
kali,MCAC_1,3,5.27,6,Invalid
caopt,HIGHLY_CONSTRAINED_29,3,296.22,6385,
acts,HIGHLY_CONSTRAINED_29,3,2.43,4190,
cagen,HIGHLY_CONSTRAINED_29,3,0.13,4188,
kali,HIGHLY_CONSTRAINED_29,3,46.49,379,Invalid
pmedici,HIGHLY_CONSTRAINED_29,3,140.05,5281,Invalid
caopt,HIGHLY_CONSTRAINED_12,3,296.02,5005,
kali,HIGHLY_CONSTRAINED_12,3,6.15,64,Invalid
pmedici,HIGHLY_CONSTRAINED_12,3,80.22,3641,
caopt,BOOLC_22,3,1.18,26,
acts,BOOLC_22,3,0.7,16,
cagen,BOOLC_22,3,0.0,18,
kali,BOOLC_22,3,2.37,23,Invalid
medici,BOOLC_22,3,0.44,17,
pmedici,BOOLC_22,3,2.01,18,
caopt,MCAC_26,3,14.1,47,
acts,MCAC_26,3,0.83,23,
cagen,MCAC_26,3,0.0,23,
kali,MCAC_26,3,2.33,12,Invalid
medici,MCAC_26,3,0.19,23,
pmedici,MCAC_26,3,1.98,23,
caopt,INDUSTRIAL_1,3,295.25,100,
acts,INDUSTRIAL_1,3,7.66,109,
cagen,INDUSTRIAL_1,3,0.78,112,
kali,INDUSTRIAL_1,3,301.0,0,Timeout
caopt,FM_2,3,8.68,29,
acts,FM_2,3,0.81,37,
cagen,FM_2,3,0.01,36,
kali,FM_2,3,7.74,79,Invalid
medici,FM_2,3,4.49,36,
pmedici,FM_2,3,3.17,41,
caopt,BOOLC_10,3,1.08,19,
acts,BOOLC_10,3,0.68,21,
cagen,BOOLC_10,3,0.0,20,
kali,BOOLC_10,3,2.85,25,Invalid
medici,BOOLC_10,3,2.29,20,
pmedici,BOOLC_10,3,2.46,29,
caopt,UNIFORM_ALL_11,3,110.8,86,
acts,UNIFORM_ALL_11,3,0.39,99,
cagen,UNIFORM_ALL_11,3,0.01,96,
kali,UNIFORM_ALL_11,3,3.62,123,
medici,UNIFORM_ALL_11,3,12.74,95,
pmedici,UNIFORM_ALL_11,3,2.73,124,
caopt,HIGHLY_CONSTRAINED_16,3,0.4,9,
acts,HIGHLY_CONSTRAINED_16,3,1.65,4,
cagen,HIGHLY_CONSTRAINED_16,3,0.07,4,
kali,HIGHLY_CONSTRAINED_16,3,2.7,3,Invalid
medici,HIGHLY_CONSTRAINED_16,3,0.16,4,
pmedici,HIGHLY_CONSTRAINED_16,3,2.44,4,
caopt,CNF_9,3,295.77,3404,
acts,CNF_9,3,1.2,2117,
cagen,CNF_9,3,0.05,2016,
kali,CNF_9,3,83.64,761,Invalid
pmedici,CNF_9,3,54.72,2877,
caopt,MCA_4,3,293.43,1904,
acts,MCA_4,3,0.57,1815,
cagen,MCA_4,3,0.02,1818,
kali,MCA_4,3,25.26,2122,Invalid
medici,MCA_4,3,177.03,1810,
pmedici,MCA_4,3,16.5,2187,
caopt,MCAC_11,3,293.38,1619,
acts,MCAC_11,3,0.76,1573,
cagen,MCAC_11,3,0.02,1565,
kali,MCAC_11,3,15.38,1736,
medici,MCAC_11,3,112.38,1570,
pmedici,MCAC_11,3,12.04,1776,
caopt,MCAC_27,3,14.79,25,
acts,MCAC_27,3,1.31,26,
cagen,MCAC_27,3,0.11,26,
kali,MCAC_27,3,2.94,4,Invalid
medici,MCAC_27,3,2.84,23,
pmedici,MCAC_27,3,4.94,25,
caopt,MCA_22,3,296.45,5347,
acts,MCA_22,3,1.13,3050,
cagen,MCA_22,3,0.11,3023,
kali,MCA_22,3,221.76,4042,
pmedici,MCA_22,3,184.75,4517,
caopt,NUMC_0,3,296.82,7433,
acts,NUMC_0,3,7.87,4754,
cagen,NUMC_0,3,0.44,4640,
kali,NUMC_0,3,301.0,0,Timeout
medici,NUMC_0,3,0.0,3,Invalid
caopt,HIGHLY_CONSTRAINED_7,3,205.46,278,
acts,HIGHLY_CONSTRAINED_7,3,1.16,288,
cagen,HIGHLY_CONSTRAINED_7,3,0.01,293,
kali,HIGHLY_CONSTRAINED_7,3,3.51,26,Invalid
medici,HIGHLY_CONSTRAINED_7,3,47.59,283,
pmedici,HIGHLY_CONSTRAINED_7,3,5.96,311,
caopt,FM_0,3,4.38,26,
acts,FM_0,3,0.94,34,
cagen,FM_0,3,0.01,33,
kali,FM_0,3,4.43,11,Invalid
medici,FM_0,3,5.19,30,
pmedici,FM_0,3,7.4,39,
caopt,NUMC_27,3,295.91,3779,
acts,NUMC_27,3,3.37,2658,
cagen,NUMC_27,3,0.67,2665,
kali,NUMC_27,3,4.65,8,Invalid
medici,NUMC_27,3,36.91,147,Invalid
caopt,INDUSTRIAL_2,3,1.6,45,
acts,INDUSTRIAL_2,3,1.38,49,
cagen,INDUSTRIAL_2,3,0.01,52,
kali,INDUSTRIAL_2,3,3.01,26,Invalid
medici,INDUSTRIAL_2,3,9.03,48,
pmedici,INDUSTRIAL_2,3,2.3,55,
caopt,UNIFORM_ALL_4,3,293.21,343,
acts,UNIFORM_ALL_4,3,0.41,370,
cagen,UNIFORM_ALL_4,3,0.01,353,
kali,UNIFORM_ALL_4,3,7.12,535,
medici,UNIFORM_ALL_4,3,49.94,359,
pmedici,UNIFORM_ALL_4,3,5.22,477,
caopt,CNF_23,3,7.42,263,
acts,CNF_23,3,0.64,230,
cagen,CNF_23,3,0.0,230,
kali,CNF_23,3,3.58,76,Invalid
medici,CNF_23,3,39.56,230,
caopt,NUMC_8,3,293.31,455,
acts,NUMC_8,3,2.07,436,
cagen,NUMC_8,3,0.57,448,
kali,NUMC_8,3,2.63,3,Invalid
medici,NUMC_8,3,0.03,111,Invalid
caopt,UNIFORM_BOOLEAN_7,3,3.37,22,
acts,UNIFORM_BOOLEAN_7,3,0.32,27,
cagen,UNIFORM_BOOLEAN_7,3,0.0,26,
kali,UNIFORM_BOOLEAN_7,3,2.19,34,
medici,UNIFORM_BOOLEAN_7,3,2.51,24,
pmedici,UNIFORM_BOOLEAN_7,3,2.01,32,
caopt,UNIFORM_BOOLEAN_13,3,0.56,13,
acts,UNIFORM_BOOLEAN_13,3,0.27,18,
cagen,UNIFORM_BOOLEAN_13,3,0.0,18,
kali,UNIFORM_BOOLEAN_13,3,2.18,29,
medici,UNIFORM_BOOLEAN_13,3,0.28,15,
pmedici,UNIFORM_BOOLEAN_13,3,1.99,30,
acts,INDUSTRIAL_12,3,0.25,0,Timeout
kali,INDUSTRIAL_12,3,4.48,7,Invalid
medici,INDUSTRIAL_12,3,22.54,156,Invalid
pmedici,INDUSTRIAL_12,3,16.9,199,Invalid
caopt,CNF_7,3,296.51,6561,
acts,CNF_7,3,1.76,3823,
cagen,CNF_7,3,0.12,3760,
kali,CNF_7,3,263.25,2431,Invalid
pmedici,CNF_7,3,216.18,5758,
caopt,INDUSTRIAL_10,3,0.76,18,
acts,INDUSTRIAL_10,3,0.47,19,
cagen,INDUSTRIAL_10,3,0.0,19,
kali,INDUSTRIAL_10,3,2.22,44,
medici,INDUSTRIAL_10,3,1.11,17,
pmedici,INDUSTRIAL_10,3,1.92,35,
caopt,MCAC_7,3,297.01,8356,
kali,MCAC_7,3,4.36,0,Timeout
caopt,CNF_1,3,297.02,6879,
acts,CNF_1,3,4.22,3969,
cagen,CNF_1,3,0.19,3951,
kali,CNF_1,3,192.75,0,Timeout
caopt,MCA_13,3,293.34,1117,
acts,MCA_13,3,0.46,1060,
cagen,MCA_13,3,0.01,1080,
kali,MCA_13,3,11.46,1571,
medici,MCA_13,3,79.16,1101,
pmedici,MCA_13,3,8.1,1462,
caopt,INDUSTRIAL_9,3,18.1,156,
acts,INDUSTRIAL_9,3,0.98,153,
cagen,INDUSTRIAL_9,3,0.01,152,
kali,INDUSTRIAL_9,3,3.02,17,Invalid
medici,INDUSTRIAL_9,3,48.59,150,
pmedici,INDUSTRIAL_9,3,2.76,151,
caopt,MCAC_22,3,296.69,5484,
acts,MCAC_22,3,48.44,4034,
cagen,MCAC_22,3,125.53,4150,
kali,MCAC_22,3,13.9,36,Invalid
caopt,MCAC_15,3,293.67,3613,
acts,MCAC_15,3,0.9,3409,
cagen,MCAC_15,3,0.03,3430,
kali,MCAC_15,3,25.69,807,Invalid
pmedici,MCAC_15,3,40.62,4623,Invalid
caopt,CNF_18,3,296.19,5263,
acts,CNF_18,3,2.29,3456,
cagen,CNF_18,3,0.23,3378,
kali,CNF_18,3,159.52,268,Invalid
caopt,FM_10,3,0.47,18,
acts,FM_10,3,0.52,16,
cagen,FM_10,3,0.0,16,
kali,FM_10,3,2.24,10,Invalid
medici,FM_10,3,0.1,16,
pmedici,FM_10,3,2.01,20,
caopt,HIGHLY_CONSTRAINED_27,3,293.67,2032,
acts,HIGHLY_CONSTRAINED_27,3,12.58,1878,
cagen,HIGHLY_CONSTRAINED_27,3,1.5,1860,
