ToolName,ModelName,Strength,Iteration,ErrorType,TimeSeconds,Size
caopt,MCAC_20,3,3,,295.93,2409
pmedici,MCA_3,3,2,,192.34,5517
acts,MCAC_16,2,2,,0.72,182
kali,MCA_25,2,3,,3.51,212
pmedici,INDUSTRIAL_0,3,3,,3.93,76
kali,HIGHLY_CONSTRAINED_11,2,3,Invalid,2.67,1
cagen,CNF_20,3,2,,0.18,4483
caopt,MCA_2,3,3,,293.28,736
medici,CNF_28,2,1,,38.76,211
acts,MCA_16,2,2,,0.47,275
acts,MCAC_2,3,3,,172.3,3707
cagen,HIGHLY_CONSTRAINED_8,3,2,,9.53,2778
pmedici,HIGHLY_CONSTRAINED_6,3,1,,45.19,342
acts,BOOLC_13,6,1,,3.06,171
cagen,NUMC_7,3,3,,0.03,1445
acts,UNIFORM_BOOLEAN_8,2,1,,0.28,8
medici,UNIFORM_ALL_13,6,1,Timeout,301.0,0
cagen,FM_7,2,2,,0.0,2
cagen,NUMC_20,3,3,,0.2,4268
kali,CNF_24,2,3,Invalid,3.15,151
acts,UNIFORM_ALL_3,4,1,,1.63,1170
acts,HIGHLY_CONSTRAINED_9,2,3,,0.68,192
acts,UNIFORM_ALL_10,3,2,,4.27,9933
kali,UNIFORM_ALL_14,4,1,Timeout,301.0,0
medici,NUMC_3,6,1,Invalid,4.97,481
caopt,MCAC_8,2,3,,20.37,113
medici,BOOLC_13,2,2,,0.12,8
caopt,HIGHLY_CONSTRAINED_0,2,1,,32.35,259
cagen,MCA_21,3,2,,0.06,2776
caopt,MCA_1,3,1,,296.46,5997
kali,FM_3,6,1,Timeout,301.0,0
acts,MCA_26,5,1,,43.38,211457
cagen,BOOLC_8,5,1,,0.1,4
cagen,MCA_6,3,2,,0.02,2200
cagen,NUMC_4,3,1,,156.93,3335
caopt,UNIFORM_BOOLEAN_2,2,2,,0.38,9
cagen,UNIFORM_BOOLEAN_5,2,2,,0.0,10
cagen,MCA_11,4,1,,0.04,6469
cagen,NUMC_23,3,1,,0.74,269
medici,BOOLC_23,5,1,,20.41,85
kali,CNF_27,2,1,Invalid,4.15,45
acts,MCA_2,5,1,,26.61,18610
pmedici,CNF_28,3,2,Invalid,73.33,3252
medici,HIGHLY_CONSTRAINED_15,3,2,,134.59,1060
caopt,HIGHLY_CONSTRAINED_3,2,3,,42.66,196
acts,MCAC_19,6,1,,15.64,4152
cagen,BOOLC_14,3,1,,0.01,6
caopt,BOOLC_6,3,2,,19.39,43
caopt,BOOLC_24,2,2,,1.0,21
medici,NUMC_13,5,1,Invalid,0.01,19
kali,NUMC_24,3,2,Timeout,6.6,0
acts,MCA_19,6,1,,90.44,601638
acts,HIGHLY_CONSTRAINED_28,3,3,,1.13,16
kali,UNIFORM_BOOLEAN_1,5,1,,5.07,170
acts,NUMC_28,3,2,,1.31,629
caopt,MCAC_23,3,1,,293.59,2321
cagen,CNF_10,4,1,,0.2,15223
kali,MCA_26,2,1,,4.1,235
pmedici,UNIFORM_BOOLEAN_1,5,1,,6.02,180
pmedici,INDUSTRIAL_3,3,1,,2.62,171
kali,MCAC_1,4,1,Invalid,69.17,12
pmedici,HIGHLY_CONSTRAINED_29,2,3,Invalid,12.19,350
pmedici,MCA_29,3,2,,9.77,1934
kali,HIGHLY_CONSTRAINED_12,2,1,Invalid,4.84,248
kali,BOOLC_22,6,1,Invalid,2.56,20
acts,MCAC_26,5,1,,0.96,23
pmedici,INDUSTRIAL_11,4,1,,2.23,135
cagen,FM_8,6,1,,0.01,40
cagen,INDUSTRIAL_1,3,2,,0.8,112
caopt,BOOLC_13,5,1,,293.2,98
acts,FM_2,5,1,,5.41,275
medici,MCA_2,3,1,,63.05,724
cagen,BOOLC_10,3,3,,0.0,20
kali,NUMC_4,2,2,Timeout,2.64,0
medici,NUMC_24,2,2,Invalid,0.0,5
cagen,UNIFORM_ALL_11,2,2,,0.0,23
acts,CNF_10,2,2,,0.66,183
kali,NUMC_13,4,1,Timeout,301.0,0
kali,HIGHLY_CONSTRAINED_16,2,3,,2.82,4
cagen,CNF_9,3,3,,0.05,2016
cagen,CNF_27,3,2,,0.11,2528
medici,UNIFORM_BOOLEAN_12,3,3,,2.99,29
pmedici,MCA_4,3,2,,16.75,2209
acts,MCAC_11,2,2,,0.58,156
caopt,MCAC_27,3,3,,20.31,25
kali,MCA_22,2,3,,6.01,320
acts,BOOLC_14,6,1,,1.36,6
cagen,NUMC_0,3,3,,0.44,4640
caopt,MCA_5,3,3,,296.0,5396
acts,MCA_11,2,2,,0.32,154
cagen,UNIFORM_BOOLEAN_11,3,3,,0.0,20
medici,NUMC_4,6,1,Timeout,0.17,0
caopt,HIGHLY_CONSTRAINED_7,2,1,,7.52,133
cagen,MCA_26,3,2,,0.03,2143
medici,BOOLC_14,2,2,,0.04,5
cagen,FM_0,2,2,,0.0,12
medici,UNIFORM_ALL_14,6,1,Timeout,301.0,0
kali,UNIFORM_BOOLEAN_12,3,3,,2.56,39
cagen,NUMC_27,3,3,,0.67,2665
acts,INDUSTRIAL_2,5,1,,1.46,167
acts,UNIFORM_ALL_4,4,1,,1.03,2423
kali,CNF_23,2,3,Invalid,2.96,68
cagen,NUMC_8,2,3,,0.57,120
acts,UNIFORM_BOOLEAN_7,3,1,,0.32,27
pmedici,HIGHLY_CONSTRAINED_9,2,1,,3.5,270
acts,UNIFORM_BOOLEAN_13,2,2,,0.26,8
cagen,HIGHLY_CONSTRAINED_7,2,2,,0.01,132
kali,NUMC_24,6,1,Timeout,301.0,0
medici,INDUSTRIAL_12,3,3,Invalid,22.54,158
acts,MCA_19,3,2,,0.58,2379
pmedici,CNF_7,2,1,,4.81,373
kali,INDUSTRIAL_10,3,3,,2.28,46
caopt,MCAC_7,3,3,,297.01,8356
acts,NUMC_28,6,1,,6.01,9120
acts,HIGHLY_CONSTRAINED_6,3,3,,4.6,342
kali,BOOLC_22,3,2,Invalid,2.52,27
medici,CNF_1,2,2,,33.28,243
cagen,FM_8,3,2,,0.0,22
caopt,MCA_13,2,2,,5.4,127
kali,INDUSTRIAL_3,2,3,Invalid,2.86,33
pmedici,BOOLC_24,5,1,,58.94,157
cagen,INDUSTRIAL_9,2,2,,0.02,48
medici,MCAC_22,5,1,Timeout,301.0,0
acts,BOOLC_23,4,1,,0.69,42
kali,MCAC_15,3,2,Invalid,25.69,807
kali,FM_3,3,2,Invalid,8.07,80
acts,CNF_18,3,2,,2.29,3456
caopt,FM_10,5,1,,1.48,58
medici,MCAC_1,5,1,Timeout,301.0,0
caopt,HIGHLY_CONSTRAINED_27,3,2,,293.71,2046
cagen,MCA_6,6,1,,196.1,924039
cagen,BOOLC_18,2,3,,0.0,7
acts,NUMC_17,5,1,,2.57,3386
acts,FM_13,3,1,,0.54,18
kali,HIGHLY_CONSTRAINED_5,4,1,Timeout,24.47,0
cagen,CNF_1,2,3,,0.01,234
pmedici,BOOLC_6,2,3,,2.03,36
acts,MCAC_19,3,2,,0.99,1030
cagen,UNIFORM_ALL_5,2,2,,0.01,387
caopt,FM_2,2,3,,0.38,10
caopt,CNF_12,2,2,,15.43,182
caopt,NUMC_12,3,1,,96.56,253
medici,MCAC_15,2,2,,47.35,243
kali,MCAC_22,4,1,Invalid,101.6,20
acts,BOOLC_14,3,2,,0.98,6
caopt,INDUSTRIAL_3,3,3,,9.5,171
kali,FM_10,2,2,Invalid,2.34,9
pmedici,FM_7,4,1,,1.82,2
pmedici,MCAC_27,2,2,,2.86,20
pmedici,BOOLC_13,2,2,,2.14,31
kali,INDUSTRIAL_7,2,1,Invalid,5.02,267
kali,UNIFORM_BOOLEAN_9,4,1,,5.31,95
kali,UNIFORM_ALL_7,2,2,,6.38,410
pmedici,UNIFORM_BOOLEAN_9,4,1,,7.18,119
pmedici,BOOLC_2,2,1,,1.98,9
medici,NUMC_4,3,2,Timeout,0.18,0
caopt,CNF_2,2,2,,8.21,181
kali,MCAC_9,5,1,Invalid,103.42,27
caopt,FM_6,2,1,,0.26,8
acts,NUMC_20,2,2,,0.68,250
medici,UNIFORM_ALL_5,2,2,,43.3,373
cagen,MCA_26,6,1,,96.87,1749648
cagen,CNF_5,2,1,,0.01,181
pmedici,MCA_21,2,2,,2.26,286
medici,CNF_9,6,1,Timeout,301.0,0
medici,FM_13,5,1,Invalid,3.8,48
medici,CNF_23,3,3,,39.62,230
pmedici,CNF_3,2,3,,2.93,402
caopt,MCA_9,2,1,,2.29,99
acts,UNIFORM_BOOLEAN_3,3,3,,0.32,26
cagen,BOOLC_0,4,1,,0.0,30
acts,MCAC_9,2,1,,2.22,112
acts,HIGHLY_CONSTRAINED_2,3,1,,50.02,1062
cagen,MCAC_16,3,3,,0.02,1468
cagen,MCA_19,5,1,,1.25,148248
kali,INDUSTRIAL_14,3,1,Invalid,54.46,196
caopt,MCAC_3,3,1,,297.14,6464
pmedici,CNF_20,2,2,,24.81,354
kali,BOOLC_15,4,1,Invalid,3.25,4
pmedici,UNIFORM_ALL_12,2,1,,1.96,62
pmedici,CNF_0,2,1,,2.04,95
pmedici,UNIFORM_BOOLEAN_12,2,2,,2.06,23
cagen,INDUSTRIAL_11,3,1,,0.0,67
kali,NUMC_23,6,1,Timeout,146.78,0
kali,UNIFORM_ALL_8,6,1,Timeout,301.0,0
cagen,HIGHLY_CONSTRAINED_22,5,1,,8.32,54695
acts,UNIFORM_BOOLEAN_0,3,1,,0.35,23
caopt,BOOLC_1,6,1,,293.21,433
cagen,HIGHLY_CONSTRAINED_0,2,2,,0.02,260
acts,UNIFORM_BOOLEAN_14,2,2,,0.31,12
acts,HIGHLY_CONSTRAINED_1,3,3,,1.98,1370
medici,CNF_6,2,2,,2.28,104
kali,BOOLC_25,3,2,Invalid,3.43,49
cagen,NUMC_28,2,3,,0.02,89
caopt,MCA_14,2,2,,15.03,170
cagen,MCAC_15,3,1,,0.03,3430
caopt,MCAC_0,3,3,,296.21,4092
caopt,HIGHLY_CONSTRAINED_8,3,1,,295.97,3947
cagen,MCA_29,2,2,,0.0,214
pmedici,UNIFORM_ALL_11,2,3,,2.03,32
caopt,UNIFORM_BOOLEAN_12,6,1,,295.21,576
caopt,INDUSTRIAL_0,3,1,,44.38,49
pmedici,BOOLC_23,5,1,,2.22,94
acts,HIGHLY_CONSTRAINED_23,2,1,,0.74,54
kali,INDUSTRIAL_4,2,3,Timeout,2.22,0
acts,BOOLC_24,4,1,,1.26,75
kali,FM_4,3,2,Invalid,2.51,5
kali,MCAC_12,3,2,Timeout,301.0,0
medici,MCAC_25,5,1,Timeout,301.0,0
pmedici,BOOLC_1,2,3,,2.05,38
pmedici,INDUSTRIAL_8,2,3,,2.2,31
kali,CNF_5,5,1,Timeout,301.0,0
caopt,CNF_15,2,2,,12.92,170
caopt,MCAC_28,2,3,,144.49,259
caopt,NUMC_15,3,1,,295.65,3166
caopt,FM_5,2,3,,0.38,9
cagen,UNIFORM_ALL_2,2,2,,0.0,91
acts,FM_14,3,1,,0.72,42
cagen,CNF_28,2,2,,0.01,209
acts,NUMC_10,5,1,,16.04,22333
kali,HIGHLY_CONSTRAINED_19,3,3,Invalid,151.24,1439
kali,HIGHLY_CONSTRAINED_2,4,1,Invalid,32.83,12
cagen,CNF_6,2,3,,0.0,105
kali,INDUSTRIAL_0,2,1,,2.72,56
acts,HIGHLY_CONSTRAINED_27,2,3,,4.25,243
kali,UNIFORM_ALL_0,2,2,,2.32,37
acts,CNF_28,4,1,,7.92,26347
kali,MCAC_25,4,1,Timeout,301.0,0
acts,BOOLC_13,3,2,,0.92,20
caopt,BOOLC_9,2,2,,0.48,15
medici,MCAC_12,2,2,,45.07,213
medici,MCA_25,3,3,,161.95,1968
pmedici,FM_0,4,1,,109.44,106
medici,MCA_9,2,3,,2.01,98
pmedici,BOOLC_14,2,2,,2.06,6
pmedici,MCAC_20,2,2,,37.82,230
medici,UNIFORM_ALL_13,3,2,,262.45,971
acts,FM_10,3,3,,0.53,16
cagen,CNF_2,2,1,,0.0,180
pmedici,MCA_26,2,2,,2.25,250
caopt,CNF_5,2,2,,15.33,181
kali,MCA_29,3,1,,15.59,2057
medici,NUMC_3,3,2,Invalid,4.49,121
pmedici,BOOLC_5,2,1,,2.13,17
caopt,NUMC_11,3,3,,296.28,5482
medici,UNIFORM_ALL_2,2,2,,11.65,89
acts,NUMC_27,2,2,,1.67,245
caopt,FM_1,2,1,,0.28,9
acts,UNIFORM_BOOLEAN_4,3,3,,0.4,31
cagen,MCA_9,2,2,,0.0,98
cagen,BOOLC_7,4,1,,0.0,46
acts,MCA_29,4,1,,1.04,11387
cagen,INDUSTRIAL_6,6,1,,1.08,4160
medici,CNF_24,3,3,,141.95,1176
pmedici,CNF_4,2,3,,57.25,183
medici,INDUSTRIAL_11,3,1,,6.13,61
medici,FM_14,5,1,,56.74,219
cagen,HIGHLY_CONSTRAINED_15,2,2,,0.09,139
caopt,MCAC_4,3,1,,293.71,3394
kali,INDUSTRIAL_13,3,1,Invalid,2.4,11
kali,BOOLC_12,4,1,Invalid,3.07,22
kali,CNF_28,3,1,Timeout,3.31,0
cagen,MCAC_11,3,3,,0.02,1565
pmedici,BOOLC_27,2,1,,2.35,27
pmedici,MCAC_13,2,1,,2.03,89
cagen,BOOLC_28,2,2,,0.0,9
medici,HIGHLY_CONSTRAINED_8,6,1,Timeout,301.0,0
caopt,HIGHLY_CONSTRAINED_17,3,3,,296.26,4962
acts,CNF_28,3,3,,1.2,2625
acts,BOOLC_20,3,1,,0.9,13
cagen,FM_14,2,2,,0.0,13
caopt,BOOLC_18,3,1,,2.47,25
medici,MCAC_21,2,1,,20.28,335
caopt,FM_13,2,1,,0.27,8
kali,MCAC_25,3,3,Timeout,301.0,0
medici,MCAC_2,2,1,,78.9,232
kali,NUMC_18,2,1,Invalid,3.8,28
pmedici,FM_0,3,3,,7.47,41
acts,FM_9,3,1,,0.62,32
acts,FM_10,4,1,,0.57,29
caopt,CNF_22,2,3,,45.83,212
medici,BOOLC_4,2,2,,0.25,10
acts,NUMC_14,2,1,,38.7,12
kali,HIGHLY_CONSTRAINED_6,3,1,Timeout,3.07,0
pmedici,MCA_15,2,1,,2.09,153
caopt,UNIFORM_ALL_12,3,2,,293.22,310
kali,CNF_1,2,1,Invalid,10.72,100
caopt,NUMC_5,2,2,,173.57,306
acts,UNIFORM_BOOLEAN_4,4,1,,0.59,79
cagen,HIGHLY_CONSTRAINED_26,2,1,,85.23,152
cagen,BOOLC_7,3,3,,0.0,19
acts,MCA_29,3,3,,0.51,1898
medici,FM_14,2,3,,0.09,13
caopt,MCA_23,2,3,,13.63,226
kali,BOOLC_12,3,3,Invalid,2.65,21
medici,HIGHLY_CONSTRAINED_29,2,1,,50.87,270
pmedici,CNF_14,2,1,,2.33,230
acts,INDUSTRIAL_9,3,1,,1.0,153
cagen,MCAC_11,4,1,,0.27,10984
medici,FM_10,2,1,,0.02,7
cagen,BOOLC_20,6,1,,0.06,20
medici,HIGHLY_CONSTRAINED_0,2,2,,46.37,267
cagen,HIGHLY_CONSTRAINED_22,2,3,,0.39,360
medici,CNF_13,3,2,,166.71,1157
cagen,BOOLC_3,3,1,,0.0,20
pmedici,UNIFORM_ALL_9,3,2,,2.21,39
pmedici,CNF_10,2,3,,3.43,202
acts,HIGHLY_CONSTRAINED_1,4,1,,23.33,12984
medici,BOOLC_28,3,1,,2.76,22
cagen,NUMC_28,5,1,,0.11,6414
caopt,MCA_27,2,1,,5.69,157
cagen,MCAC_26,3,2,,0.0,23
acts,MCA_9,3,1,,0.33,588
kali,BOOLC_16,3,1,,2.51,105
medici,MCAC_6,2,3,,18.43,145
kali,MCAC_21,3,1,Timeout,4.0,0
pmedici,FM_4,3,1,,2.3,19
acts,HIGHLY_CONSTRAINED_10,2,2,,2.67,164
acts,CNF_2,3,2,,0.8,1832
pmedici,BOOLC_23,2,3,,2.04,25
caopt,HIGHLY_CONSTRAINED_13,3,1,,207.92,673
acts,BOOLC_8,3,2,,1.35,4
acts,BOOLC_24,3,3,,1.3,33
medici,MCAC_25,2,3,,28.67,234
medici,NUMC_18,3,1,Timeout,0.19,0
pmedici,HIGHLY_CONSTRAINED_11,3,2,,5.71,2
pmedici,MCA_11,2,3,,2.12,179
pmedici,INDUSTRIAL_8,5,1,,7.74,144
pmedici,BOOLC_1,5,1,,7.16,181
cagen,NUMC_17,6,1,,0.26,3534
kali,CNF_5,2,3,Invalid,3.25,55
kali,BOOLC_4,3,2,Invalid,3.47,64
caopt,FM_5,5,1,,293.21,184
caopt,CNF_26,2,1,,24.95,223
acts,NUMC_10,2,3,,4.68,216
cagen,CNF_6,5,1,,0.29,4236
kali,HIGHLY_CONSTRAINED_2,3,3,Invalid,6.13,21
kali,HIGHLY_CONSTRAINED_19,4,1,Timeout,301.0,0
caopt,FM_14,2,1,,0.38,15
medici,MCAC_5,2,1,,264.27,287
kali,MCAC_22,3,3,Invalid,13.98,36
caopt,INDUSTRIAL_3,4,1,,87.01,341
pmedici,FM_7,3,3,,1.92,2
caopt,HIGHLY_CONSTRAINED_10,3,3,,293.64,1802
kali,UNIFORM_BOOLEAN_9,3,3,,2.49,40
pmedici,MCAC_14,2,1,,123.6,318
pmedici,BOOLC_20,2,1,,2.26,13
medici,MCAC_26,2,1,,0.04,23
cagen,FM_13,2,2,,0.0,8
acts,BOOLC_27,3,1,,1.41,29
pmedici,UNIFORM_BOOLEAN_9,3,3,,2.17,47
kali,HIGHLY_CONSTRAINED_29,3,2,Invalid,59.17,456
pmedici,MCA_12,2,1,,2.33,225
kali,MCAC_9,2,3,Invalid,3.04,42
cagen,CNF_18,2,3,,0.01,242
kali,CNF_6,2,1,Invalid,2.74,21
acts,NUMC_13,2,1,,0.95,190
caopt,CNF_25,2,3,,25.92,227
caopt,MCAC_18,2,2,,5.51,146
medici,BOOLC_3,2,2,,0.06,8
kali,HIGHLY_CONSTRAINED_1,3,1,Invalid,49.2,97
medici,FM_13,2,3,Invalid,0.01,7
medici,CNF_23,4,1,,125.21,230
cagen,HIGHLY_CONSTRAINED_21,2,1,,47.79,337
acts,UNIFORM_BOOLEAN_3,4,1,,0.38,63
caopt,NUMC_2,2,2,,164.85,290
cagen,BOOLC_0,3,3,,0.0,17
acts,UNIFORM_ALL_8,2,1,,0.47,325
pmedici,CNF_13,2,1,,2.71,156
cagen,MCAC_16,4,1,,0.18,7640
cagen,MCA_19,2,3,,0.0,196
caopt,MCA_24,2,3,,15.73,211
acts,NUMC_8,3,2,,2.46,436
kali,BOOLC_15,3,3,Invalid,2.67,7
cagen,NUMC_8,5,1,,0.64,880
caopt,UNIFORM_ALL_9,3,2,,14.07,25
cagen,BOOLC_4,3,1,,0.01,37
medici,CNF_14,3,2,,220.3,2224
medici,HIGHLY_CONSTRAINED_7,2,2,,2.61,132
cagen,BOOLC_27,6,1,,0.37,510
cagen,MCAC_21,3,2,,37.76,2410
caopt,MCA_20,2,1,,29.14,233
kali,INDUSTRIAL_10,4,1,Invalid,2.32,49
kali,BOOLC_11,3,1,Invalid,2.57,8
medici,INDUSTRIAL_8,3,1,Invalid,4.98,49
medici,FM_9,3,1,,3.86,35
pmedici,CNF_17,2,3,,6.03,229
acts,HIGHLY_CONSTRAINED_6,4,1,,5.59,342
pmedici,FM_11,2,2,,2.2,22
caopt,HIGHLY_CONSTRAINED_14,3,1,,296.73,5394
kali,INDUSTRIAL_3,5,1,Invalid,4.15,4
acts,CNF_5,3,2,,1.12,2253
pmedici,BOOLC_24,2,3,,2.38,18
medici,MCAC_22,2,3,,44.85,259
medici,MCA_15,3,2,,136.59,981
acts,BOOLC_23,3,3,,0.6,20
kali,MCAC_26,3,1,Invalid,2.33,12
medici,MCAC_1,2,3,,28.12,223
caopt,FM_10,2,3,,0.24,8
acts,HIGHLY_CONSTRAINED_17,2,2,,1.16,262
pmedici,FM_3,3,1,,3.3,43
cagen,BOOLC_18,5,1,,0.0,53
acts,NUMC_17,2,3,,0.94,155
caopt,NUMC_21,3,2,,0.99,17
caopt,CNF_21,2,1,,27.55,197
kali,HIGHLY_CONSTRAINED_5,3,3,Invalid,4.89,4
pmedici,BOOLC_6,5,1,,5.86,165
pmedici,HIGHLY_CONSTRAINED_16,3,2,,2.5,4
pmedici,MCA_16,2,3,,3.14,404
caopt,FM_2,5,1,,293.2,244
kali,BOOLC_3,3,2,Invalid,2.71,26
kali,CNF_2,2,3,Invalid,3.56,186
cagen,NUMC_10,6,1,,4.73,42721
medici,NUMC_17,2,1,Timeout,0.19,0
acts,BOOLC_7,2,2,,0.58,10
caopt,BOOLC_13,2,3,,0.49,8
acts,CNF_23,2,1,,0.58,131
kali,UNIFORM_BOOLEAN_5,2,1,,2.2,28
pmedici,MCAC_18,3,3,Invalid,38.46,2323
acts,FM_2,2,3,,0.72,13
cagen,BOOLC_10,4,1,,0.01,48
kali,NUMC_13,3,3,Invalid,208.16,4276
medici,MCAC_9,3,3,,128.37,1150
cagen,CNF_9,4,1,,1.82,22732
kali,HIGHLY_CONSTRAINED_16,5,1,Invalid,4.68,1
acts,MCAC_22,2,1,,26.14,262
caopt,NUMC_29,2,2,,293.43,360
medici,UNIFORM_BOOLEAN_12,4,1,,34.86,76
caopt,CNF_29,3,1,,293.56,2800
caopt,MCAC_27,4,1,,295.22,51
cagen,CNF_14,3,1,,0.04,2220
pmedici,UNIFORM_BOOLEAN_5,2,1,,2.07,32
kali,MCA_22,5,1,Timeout,301.0,0
kali,MCAC_5,3,1,Invalid,265.29,251
acts,NUMC_8,6,1,,3.83,883
acts,MCA_22,2,1,,0.39,216
pmedici,UNIFORM_ALL_6,2,2,,2.16,204
cagen,NUMC_0,4,1,,108.99,65391
caopt,UNIFORM_ALL_1,2,2,,1.19,20
kali,BOOLC_19,2,1,Invalid,2.34,13
acts,MCA_6,2,1,,0.38,197
kali,UNIFORM_ALL_13,3,3,,24.2,1358
medici,INDUSTRIAL_0,2,1,,2.01,17
cagen,UNIFORM_BOOLEAN_11,4,1,,0.0,44
caopt,MCA_28,3,1,,296.54,6263
cagen,MCA_15,3,1,,0.02,964
acts,INDUSTRIAL_2,2,3,,1.4,19
cagen,NUMC_27,4,1,,1.46,22761
kali,UNIFORM_BOOLEAN_12,4,1,,4.49,91
medici,BOOLC_27,2,1,,0.18,10
medici,FM_1,2,1,,0.03,8
acts,UNIFORM_ALL_4,3,3,,0.45,370
kali,CNF_23,5,1,Invalid,29.88,297
kali,MCA_5,3,2,,86.18,4946
medici,MCA_15,6,1,Timeout,301.0,0
acts,MCA_26,2,3,,0.36,175
cagen,BOOLC_8,2,3,,0.08,4
cagen,HIGHLY_CONSTRAINED_29,3,1,,0.13,4188
caopt,NUMC_21,6,1,Invalid,295.19,1
acts,INDUSTRIAL_6,2,1,,0.56,27
cagen,MCA_11,3,3,,0.01,1090
medici,BOOLC_23,2,3,,0.03,8
acts,UNIFORM_ALL_0,3,1,,0.29,54
medici,FM_5,2,3,,0.86,10
medici,HIGHLY_CONSTRAINED_26,3,1,,149.29,1097
pmedici,HIGHLY_CONSTRAINED_16,6,1,,15.01,4
acts,MCA_2,2,3,,0.34,90
acts,NUMC_0,2,2,,1.53,288
kali,CNF_14,2,2,Invalid,4.05,235
cagen,NUMC_10,3,2,,2.71,1389
kali,BOOLC_3,6,1,Invalid,9.71,18
acts,FM_6,2,1,,0.6,11
caopt,UNIFORM_ALL_9,6,1,,295.23,537
acts,INDUSTRIAL_13,2,2,,0.69,22
medici,CNF_14,6,1,Timeout,301.0,0
kali,NUMC_17,3,1,Invalid,4.29,73
medici,NUMC_13,2,3,Invalid,0.0,19
acts,CNF_27,2,3,,0.84,204
caopt,BOOLC_17,2,1,,0.57,10
acts,HIGHLY_CONSTRAINED_28,4,1,,1.46,16
caopt,HIGHLY_CONSTRAINED_18,2,3,,12.16,161
pmedici,BOOLC_28,3,1,,2.31,36
kali,UNIFORM_BOOLEAN_1,2,3,,2.28,29
cagen,BOOLC_27,3,2,,0.28,31
cagen,MCAC_21,6,1,,90.11,9279
cagen,CNF_10,3,3,,0.02,1830
pmedici,UNIFORM_BOOLEAN_1,2,3,,1.86,32
kali,MCAC_1,3,3,Invalid,5.93,10
kali,HIGHLY_CONSTRAINED_21,2,2,Invalid,6.44,124
medici,UNIFORM_BOOLEAN_4,3,2,,2.97,29
kali,MCA_15,2,2,Invalid,3.7,157
kali,HIGHLY_CONSTRAINED_9,2,1,,4.83,280
pmedici,INDUSTRIAL_11,3,3,,2.11,73
acts,MCAC_26,2,3,,0.82,23
caopt,MCAC_10,3,2,,296.19,4187
cagen,BOOLC_17,4,1,,0.01,40
acts,FM_5,2,3,,0.85,12
acts,HIGHLY_CONSTRAINED_18,3,2,,15.05,1709
kali,MCAC_29,2,1,Invalid,2.91,1
kali,NUMC_14,3,3,Invalid,4.07,1
caopt,BOOLC_14,2,3,,0.24,6
acts,BOOLC_0,2,2,,0.83,7
acts,CNF_24,2,1,,0.53,170
medici,NUMC_10,2,1,Timeout,0.19,0
kali,UNIFORM_BOOLEAN_2,2,1,,2.23,27
cagen,CNF_13,3,1,,0.02,1057
pmedici,HIGHLY_CONSTRAINED_19,2,2,Invalid,7.53,248
kali,MCAC_2,3,1,Invalid,246.46,318
