ToolName,ModelName,Strength,TimeSeconds,Size,ErrorType
appts,UNIFORM_ALL_3,2,26.24,121,
pmedici,BOOLC_2,2,1.96,31,Invalid
cagen,BOOLC_2,2,0.0,10,
appts,BOOLC_2,2,12.97,7,
pmedici,UNIFORM_ALL_49,2,3.25,287,
iposolver,UNIFORM_ALL_49,2,0.05,208,
cagen,UNIFORM_ALL_49,2,0.0,211,
appts,UNIFORM_ALL_49,2,74.63,161,
pmedici,BOOLC_18,2,1.92,11,Invalid
cagen,BOOLC_18,2,0.14,5,
appts,BOOLC_18,2,9.57,5,
pmedici,UNIFORM_BOOLEAN_6,2,1.86,17,
iposolver,UNIFORM_BOOLEAN_6,2,0.0,9,
cagen,UNIFORM_BOOLEAN_6,2,0.0,10,
appts,UNIFORM_BOOLEAN_6,2,13.34,7,
pmedici,BOOLC_17,2,1.98,35,Invalid
cagen,BOOLC_17,2,0.07,10,
appts,BOOLC_17,2,14.25,7,
pmedici,UNIFORM_ALL_43,2,9.83,660,
iposolver,UNIFORM_ALL_43,2,0.27,438,
cagen,UNIFORM_ALL_43,2,0.01,405,
appts,UNIFORM_ALL_43,2,96.39,355,
pmedici,BOOLC_42,2,1.92,7,Invalid
cagen,BOOLC_42,2,0.01,6,
appts,BOOLC_42,2,10.92,6,
pmedici,UNIFORM_ALL_16,2,1.92,15,
iposolver,UNIFORM_ALL_16,2,0.0,11,
cagen,UNIFORM_ALL_16,2,0.0,12,
appts,UNIFORM_ALL_16,2,13.16,8,
pmedici,MCAC_10,2,14.21,1829,Invalid
cagen,MCAC_10,2,0.03,1510,
appts,MCAC_10,2,189.28,1480,
pmedici,UNIFORM_BOOLEAN_37,2,1.83,12,
iposolver,UNIFORM_BOOLEAN_37,2,0.0,11,
cagen,UNIFORM_BOOLEAN_37,2,0.0,12,
appts,UNIFORM_BOOLEAN_37,2,12.81,8,
pmedici,MCAC_45,2,7.63,1679,Invalid
cagen,MCAC_45,2,0.13,1484,
appts,MCAC_45,2,66.57,1473,
pmedici,BOOLC_24,2,1.81,4,Invalid
cagen,BOOLC_24,2,0.0,4,
appts,BOOLC_24,2,7.01,4,
pmedici,MCA_25,2,10.44,2315,
iposolver,MCA_25,2,0.05,1960,
cagen,MCA_25,2,0.01,1965,
appts,MCA_25,2,42.63,1960,
pmedici,UNIFORM_ALL_34,2,1.91,40,
iposolver,UNIFORM_ALL_34,2,0.0,31,
cagen,UNIFORM_ALL_34,2,0.0,40,
appts,UNIFORM_ALL_34,2,20.11,25,
pmedici,MCA_19,2,25.97,2580,
iposolver,MCA_19,2,0.14,1894,
cagen,MCA_19,2,0.01,1813,
appts,MCA_19,2,41.22,1813,
pmedici,UNIFORM_BOOLEAN_21,2,1.84,14,
iposolver,UNIFORM_BOOLEAN_21,2,0.0,7,
cagen,UNIFORM_BOOLEAN_21,2,0.0,8,
appts,UNIFORM_BOOLEAN_21,2,10.79,6,
pmedici,UNIFORM_BOOLEAN_30,2,1.76,12,
iposolver,UNIFORM_BOOLEAN_30,2,0.0,9,
cagen,UNIFORM_BOOLEAN_30,2,0.0,10,
appts,UNIFORM_BOOLEAN_30,2,12.75,7,
pmedici,MCA_12,2,18.95,2518,
iposolver,MCA_12,2,0.09,1712,
cagen,MCA_12,2,0.01,1618,
appts,MCA_12,2,40.09,1596,
pmedici,MCA_47,2,2.34,378,
iposolver,MCA_47,2,0.01,378,
cagen,MCA_47,2,0.0,378,
appts,MCA_47,2,28.65,378,
pmedici,MCAC_48,2,11.83,2046,Invalid
cagen,MCAC_48,2,19.13,1641,
appts,MCAC_48,2,40.22,1636,
pmedici,UNIFORM_ALL_35,2,27.84,1263,
iposolver,UNIFORM_ALL_35,2,0.63,774,
cagen,UNIFORM_ALL_35,2,0.01,361,
appts,UNIFORM_ALL_35,2,48.34,361,
pmedici,UNIFORM_BOOLEAN_44,2,1.86,14,
iposolver,UNIFORM_BOOLEAN_44,2,0.0,9,
cagen,UNIFORM_BOOLEAN_44,2,0.0,8,
appts,UNIFORM_BOOLEAN_44,2,11.33,6,
pmedici,UNIFORM_BOOLEAN_11,2,1.92,12,
iposolver,UNIFORM_BOOLEAN_11,2,0.0,9,
cagen,UNIFORM_BOOLEAN_11,2,0.0,10,
appts,UNIFORM_BOOLEAN_11,2,12.63,6,
pmedici,MCA_38,2,22.56,2614,
iposolver,MCA_38,2,0.1,2166,
cagen,MCA_38,2,0.01,2105,
appts,MCA_38,2,44.41,2100,
pmedici,BOOLC_8,2,1.9,27,Invalid
cagen,BOOLC_8,2,0.0,8,
appts,BOOLC_8,2,12.09,6,
pmedici,BOOLC_36,2,1.92,36,Invalid
cagen,BOOLC_36,2,0.0,10,
appts,BOOLC_36,2,13.89,7,
pmedici,MCA_6,2,35.09,3348,
iposolver,MCA_6,2,0.29,2340,
cagen,MCA_6,2,0.02,2205,
appts,MCA_6,2,45.12,2200,
pmedici,UNIFORM_ALL_38,2,2.39,499,
iposolver,UNIFORM_ALL_38,2,0.01,401,
cagen,UNIFORM_ALL_38,2,0.0,361,
appts,UNIFORM_ALL_38,2,28.49,361,
pmedici,MCA_11,2,9.43,1968,
iposolver,MCA_11,2,0.06,1935,
cagen,MCA_11,2,0.01,1939,
appts,MCA_11,2,40.83,1935,
pmedici,MCA_44,2,21.4,3737,
iposolver,MCA_44,2,0.07,2600,
cagen,MCA_44,2,0.01,2450,
appts,MCA_44,2,46.53,2450,
pmedici,UNIFORM_BOOLEAN_15,2,1.83,12,
iposolver,UNIFORM_BOOLEAN_15,2,0.0,11,
cagen,UNIFORM_BOOLEAN_15,2,0.0,10,
appts,UNIFORM_BOOLEAN_15,2,12.36,8,
pmedici,UNIFORM_ALL_36,2,3.17,417,
iposolver,UNIFORM_ALL_36,2,0.02,267,
cagen,UNIFORM_ALL_36,2,0.0,169,
appts,UNIFORM_ALL_36,2,25.74,169,
pmedici,MCA_35,2,18.48,2684,
iposolver,MCA_35,2,0.19,2234,
cagen,MCA_35,2,0.02,2164,
appts,MCA_35,2,47.51,2162,
pmedici,BOOLC_32,2,1.85,31,Invalid
cagen,BOOLC_32,2,0.0,9,
appts,BOOLC_32,2,2.45,9,
pmedici,UNIFORM_BOOLEAN_40,2,1.87,11,
iposolver,UNIFORM_BOOLEAN_40,2,0.0,6,
cagen,UNIFORM_BOOLEAN_40,2,0.0,6,
appts,UNIFORM_BOOLEAN_40,2,10.2,6,
pmedici,BOOLC_14,2,2.0,27,Invalid
cagen,BOOLC_14,2,0.0,6,
appts,BOOLC_14,2,11.75,6,
pmedici,BOOLC_41,2,1.96,15,Invalid
cagen,BOOLC_41,2,0.01,6,
appts,BOOLC_41,2,10.33,4,
pmedici,UNIFORM_ALL_26,2,2.31,194,
iposolver,UNIFORM_ALL_26,2,0.01,136,
cagen,UNIFORM_ALL_26,2,0.0,107,
appts,UNIFORM_ALL_26,2,41.19,96,
pmedici,MCAC_13,2,4.56,470,Invalid
cagen,MCAC_13,2,0.0,326,
appts,MCAC_13,2,32.82,324,
pmedici,MCA_26,2,57.36,3954,
iposolver,MCA_26,2,0.32,2370,
cagen,MCA_26,2,0.02,2217,
appts,MCA_26,2,48.18,2209,
pmedici,MCAC_46,2,300.11,0,Timeout
cagen,MCAC_46,2,0.7,1452,
appts,MCAC_46,2,69.67,1443,
pmedici,UNIFORM_BOOLEAN_34,2,1.81,11,
iposolver,UNIFORM_BOOLEAN_34,2,0.0,11,
cagen,UNIFORM_BOOLEAN_34,2,0.0,10,
appts,UNIFORM_BOOLEAN_34,2,13.17,8,
pmedici,MCAC_1,2,2.47,24,
cagen,MCAC_1,2,0.04,24,
appts,MCAC_1,2,5.08,24,
pmedici,BOOLC_5,2,1.91,1,
cagen,BOOLC_5,2,0.19,1,
appts,BOOLC_5,2,3.79,1,
pmedici,UNIFORM_ALL_4,2,3.79,520,
iposolver,UNIFORM_ALL_4,2,0.03,321,
cagen,UNIFORM_ALL_4,2,0.0,308,
appts,UNIFORM_ALL_4,2,64.64,265,
pmedici,MCA_18,2,1.8,46,
iposolver,MCA_18,2,0.0,46,
cagen,MCA_18,2,0.0,46,
appts,MCA_18,2,16.06,46,
pmedici,MCAC_33,2,300.11,0,Timeout
cagen,MCAC_33,2,300.01,0,Timeout
appts,MCAC_33,2,300.24,2214,
pmedici,UNIFORM_BOOLEAN_29,2,1.81,6,
iposolver,UNIFORM_BOOLEAN_29,2,0.0,4,
cagen,UNIFORM_BOOLEAN_29,2,0.0,4,
appts,UNIFORM_BOOLEAN_29,2,5.98,4,
pmedici,MCAC_17,2,1.86,45,Invalid
cagen,MCAC_17,2,0.0,37,
appts,MCAC_17,2,16.9,37,
pmedici,MCA_22,2,1.78,120,
iposolver,MCA_22,2,0.0,120,
cagen,MCA_22,2,0.0,120,
appts,MCA_22,2,19.07,120,
pmedici,MCA_8,2,1.89,22,
iposolver,MCA_8,2,0.0,20,
cagen,MCA_8,2,0.0,20,
appts,MCA_8,2,13.66,20,
pmedici,MCAC_18,2,2.0,1,
cagen,MCAC_18,2,0.01,1,
appts,MCAC_18,2,4.74,1,
pmedici,BOOLC_23,2,1.87,1,
cagen,BOOLC_23,2,0.01,1,
appts,BOOLC_23,2,2.74,1,
pmedici,MCAC_42,2,63.52,1811,Invalid
cagen,MCAC_42,2,300.0,0,Timeout
appts,MCAC_42,2,300.14,1335,
pmedici,UNIFORM_ALL_44,2,2.05,100,
iposolver,UNIFORM_ALL_44,2,0.01,79,
cagen,UNIFORM_ALL_44,2,0.0,78,
appts,UNIFORM_ALL_44,2,29.91,60,
pmedici,BOOLC_10,2,1.9,30,Invalid
cagen,BOOLC_10,2,0.0,9,
appts,BOOLC_10,2,11.6,6,
pmedici,UNIFORM_ALL_11,2,2.78,310,
iposolver,UNIFORM_ALL_11,2,0.02,209,
cagen,UNIFORM_ALL_11,2,0.0,121,
appts,UNIFORM_ALL_11,2,25.54,121,
pmedici,BOOLC_45,2,1.84,34,Invalid
cagen,BOOLC_45,2,0.0,10,
appts,BOOLC_45,2,2.67,11,
pmedici,BOOLC_28,2,1.85,34,Invalid
cagen,BOOLC_28,2,0.0,10,
appts,BOOLC_28,2,13.03,7,
pmedici,UNIFORM_BOOLEAN_9,2,1.9,7,
iposolver,UNIFORM_BOOLEAN_9,2,0.0,4,
cagen,UNIFORM_BOOLEAN_9,2,0.0,4,
appts,UNIFORM_BOOLEAN_9,2,6.32,4,
pmedici,UNIFORM_ALL_33,2,4.96,565,
iposolver,UNIFORM_ALL_33,2,0.06,360,
cagen,UNIFORM_ALL_33,2,0.01,334,
appts,UNIFORM_ALL_33,2,62.12,292,
pmedici,MCA_49,2,5.41,1125,
iposolver,MCA_49,2,0.08,1102,
cagen,MCA_49,2,0.01,1103,
appts,MCA_49,2,35.68,1102,
pmedici,UNIFORM_BOOLEAN_26,2,1.84,11,
iposolver,UNIFORM_BOOLEAN_26,2,0.0,7,
cagen,UNIFORM_BOOLEAN_26,2,0.0,8,
appts,UNIFORM_BOOLEAN_26,2,11.73,6,
pmedici,UNIFORM_ALL_32,2,2.27,236,
iposolver,UNIFORM_ALL_32,2,0.0,164,
cagen,UNIFORM_ALL_32,2,0.0,121,
appts,UNIFORM_ALL_32,2,20.58,121,
pmedici,MCA_15,2,32.21,2894,
iposolver,MCA_15,2,0.27,2060,
cagen,MCA_15,2,0.02,1991,
appts,MCA_15,2,45.29,1980,
pmedici,MCA_40,2,1.91,120,
iposolver,MCA_40,2,0.0,120,
cagen,MCA_40,2,0.0,120,
appts,MCA_40,2,25.1,120,
pmedici,UNIFORM_BOOLEAN_22,2,1.83,12,
iposolver,UNIFORM_BOOLEAN_22,2,0.0,7,
cagen,UNIFORM_BOOLEAN_22,2,0.0,8,
appts,UNIFORM_BOOLEAN_22,2,10.09,6,
pmedici,UNIFORM_ALL_46,2,1.83,14,
iposolver,UNIFORM_ALL_46,2,0.0,11,
cagen,UNIFORM_ALL_46,2,0.0,12,
appts,UNIFORM_ALL_46,2,12.74,8,
pmedici,UNIFORM_ALL_13,2,1.92,64,
iposolver,UNIFORM_ALL_13,2,0.0,52,
cagen,UNIFORM_ALL_13,2,0.0,48,
appts,UNIFORM_ALL_13,2,18.64,39,
pmedici,BOOLC_4,2,1.97,35,Invalid
cagen,BOOLC_4,2,0.02,11,
appts,BOOLC_4,2,15.81,8,Invalid
pmedici,UNIFORM_ALL_20,2,16.79,1267,
iposolver,UNIFORM_ALL_20,2,0.25,745,
cagen,UNIFORM_ALL_20,2,0.01,678,
appts,UNIFORM_ALL_20,2,150.92,614,
pmedici,MCAC_9,2,8.88,2273,Invalid
cagen,MCAC_9,2,0.01,2200,
appts,MCAC_9,2,51.31,2200,
pmedici,MCAC_47,2,1.81,7,
cagen,MCAC_47,2,0.0,6,
appts,MCAC_47,2,11.12,6,
pmedici,MCAC_12,2,1.95,80,Invalid
cagen,MCAC_12,2,0.0,77,
appts,MCAC_12,2,2.14,77,
pmedici,MCA_0,2,1.89,115,
iposolver,MCA_0,2,0.0,115,
cagen,MCA_0,2,0.0,115,
appts,MCA_0,2,21.01,115,
pmedici,UNIFORM_ALL_19,2,2.22,107,
iposolver,UNIFORM_ALL_19,2,0.02,87,
cagen,UNIFORM_ALL_19,2,0.0,79,
appts,UNIFORM_ALL_19,2,32.34,65,
pmedici,MCA_2,2,1.88,94,
iposolver,MCA_2,2,0.0,94,
cagen,MCA_2,2,0.0,94,
appts,MCA_2,2,24.56,94,
pmedici,UNIFORM_BOOLEAN_1,2,1.87,7,
iposolver,UNIFORM_BOOLEAN_1,2,0.0,4,
cagen,UNIFORM_BOOLEAN_1,2,0.0,4,
appts,UNIFORM_BOOLEAN_1,2,6.17,4,
pmedici,UNIFORM_ALL_24,2,6.58,681,
iposolver,UNIFORM_ALL_24,2,0.11,424,
cagen,UNIFORM_ALL_24,2,0.01,387,
appts,UNIFORM_ALL_24,2,78.39,342,
pmedici,BOOLC_20,2,1.99,35,Invalid
cagen,BOOLC_20,2,0.0,10,
appts,BOOLC_20,2,13.39,8,
pmedici,BOOLC_6,2,1.87,28,Invalid
cagen,BOOLC_6,2,0.73,13,
appts,BOOLC_6,2,14.16,11,Invalid
pmedici,MCA_14,2,6.72,1602,
iposolver,MCA_14,2,0.02,1540,
cagen,MCA_14,2,0.01,1540,
appts,MCA_14,2,38.15,1540,
pmedici,UNIFORM_ALL_5,2,2.31,222,
iposolver,UNIFORM_ALL_5,2,0.01,158,
cagen,UNIFORM_ALL_5,2,0.0,147,
appts,UNIFORM_ALL_5,2,27.48,123,
pmedici,MCA_41,2,31.86,2428,
iposolver,MCA_41,2,0.21,1867,
cagen,MCA_41,2,0.02,1825,
appts,MCA_41,2,43.08,1813,
pmedici,BOOLC_49,2,1.82,6,Invalid
cagen,BOOLC_49,2,0.0,5,
appts,BOOLC_49,2,7.68,5,
pmedici,MCAC_27,2,3.14,210,
cagen,MCAC_27,2,0.08,210,
appts,MCAC_27,2,73.99,210,
pmedici,MCA_4,2,9.54,1866,
iposolver,MCA_4,2,0.16,1599,
cagen,MCA_4,2,0.01,1606,
appts,MCA_4,2,42.17,1599,
pmedici,MCA_10,2,11.85,2308,
iposolver,MCA_10,2,0.1,1877,
cagen,MCA_10,2,0.01,1850,
appts,MCA_10,2,42.28,1850,
pmedici,MCA_45,2,1.9,10,
iposolver,MCA_45,2,0.0,6,
cagen,MCA_45,2,0.0,6,
appts,MCA_45,2,10.2,6,
pmedici,MCA_23,2,3.18,924,
iposolver,MCA_23,2,0.01,924,
cagen,MCA_23,2,0.0,924,
appts,MCA_23,2,35.21,924,
pmedici,MCAC_36,2,50.88,1761,Invalid
cagen,MCAC_36,2,0.03,1602,
appts,MCAC_36,2,69.53,1599,
pmedici,UNIFORM_ALL_30,2,2.79,318,
iposolver,UNIFORM_ALL_30,2,0.02,209,
cagen,UNIFORM_ALL_30,2,0.0,121,
appts,UNIFORM_ALL_30,2,25.16,121,
pmedici,UNIFORM_ALL_17,2,1.89,42,
iposolver,UNIFORM_ALL_17,2,0.0,32,
cagen,UNIFORM_ALL_17,2,0.0,25,
appts,UNIFORM_ALL_17,2,13.21,25,
pmedici,BOOLC_0,2,1.99,29,Invalid
cagen,BOOLC_0,2,0.01,9,
appts,BOOLC_0,2,2.57,8,
pmedici,MCAC_43,2,300.12,0,Timeout
cagen,MCAC_43,2,300.0,0,Timeout
appts,MCAC_43,2,300.13,937,
pmedici,MCAC_16,2,120.34,5658,Invalid
cagen,MCAC_16,2,0.04,2545,
appts,MCAC_16,2,300.14,2431,
pmedici,UNIFORM_ALL_47,2,8.43,709,
iposolver,UNIFORM_ALL_47,2,0.18,457,
cagen,UNIFORM_ALL_47,2,0.01,417,
appts,UNIFORM_ALL_47,2,99.88,370,
pmedici,UNIFORM_BOOLEAN_48,2,1.83,14,
iposolver,UNIFORM_BOOLEAN_48,2,0.0,9,
cagen,UNIFORM_BOOLEAN_48,2,0.0,10,
appts,UNIFORM_BOOLEAN_48,2,12.29,7,
pmedici,UNIFORM_ALL_12,2,1.81,14,
iposolver,UNIFORM_ALL_12,2,0.0,11,
cagen,UNIFORM_ALL_12,2,0.0,12,
appts,UNIFORM_ALL_12,2,12.82,8,
pmedici,UNIFORM_ALL_27,2,5.22,804,
iposolver,UNIFORM_ALL_27,2,0.05,488,
cagen,UNIFORM_ALL_27,2,0.0,462,
appts,UNIFORM_ALL_27,2,40.37,406,
pmedici,UNIFORM_ALL_41,2,1.9,28,
iposolver,UNIFORM_ALL_41,2,0.01,25,
cagen,UNIFORM_ALL_41,2,0.0,23,
appts,UNIFORM_ALL_41,2,17.69,17,
pmedici,BOOLC_3,2,1.85,30,Invalid
cagen,BOOLC_3,2,0.0,7,
appts,BOOLC_3,2,12.18,7,Invalid
pmedici,UNIFORM_ALL_14,2,2.46,330,
iposolver,UNIFORM_ALL_14,2,0.01,225,
cagen,UNIFORM_ALL_14,2,0.0,169,
appts,UNIFORM_ALL_14,2,23.56,169,
pmedici,MCAC_40,2,1.94,85,
cagen,MCAC_40,2,0.01,85,
appts,MCAC_40,2,26.29,85,
pmedici,MCAC_15,2,300.11,0,Timeout
cagen,MCAC_15,2,300.0,0,Timeout
appts,MCAC_15,2,49.68,2146,
pmedici,BOOLC_39,2,1.88,21,Invalid
cagen,BOOLC_39,2,0.0,7,
appts,BOOLC_39,2,11.71,6,
pmedici,MCA_29,2,35.66,2174,
iposolver,MCA_29,2,0.43,1922,
cagen,MCA_29,2,0.03,1934,
appts,MCA_29,2,44.07,1920,
pmedici,MCA_5,2,47.62,3845,
iposolver,MCA_5,2,0.36,2283,
cagen,MCA_5,2,0.02,2022,
appts,MCA_5,2,43.89,1987,
pmedici,UNIFORM_ALL_39,2,9.24,714,
iposolver,UNIFORM_ALL_39,2,0.18,471,
cagen,UNIFORM_ALL_39,2,0.01,443,
appts,UNIFORM_ALL_39,2,138.8,382,
pmedici,MCA_7,2,3.49,717,
iposolver,MCA_7,2,0.02,602,
cagen,MCA_7,2,0.0,572,
appts,MCA_7,2,30.05,572,
pmedici,MCA_13,2,22.28,2316,
iposolver,MCA_13,2,0.12,1911,
cagen,MCA_13,2,0.02,1922,
appts,MCA_13,2,43.85,1911,
pmedici,BOOLC_1,2,1.93,31,Invalid
cagen,BOOLC_1,2,0.0,10,
appts,BOOLC_1,2,12.31,7,
pmedici,MCA_46,2,6.72,1045,
iposolver,MCA_46,2,0.07,948,
cagen,MCA_46,2,0.01,920,
appts,MCA_46,2,34.31,918,
pmedici,UNIFORM_ALL_2,2,5.9,601,
iposolver,UNIFORM_ALL_2,2,0.11,385,
cagen,UNIFORM_ALL_2,2,0.01,352,
appts,UNIFORM_ALL_2,2,103.91,311,
pmedici,BOOLC_27,2,1.82,31,Invalid
cagen,BOOLC_27,2,0.0,9,
appts,BOOLC_27,2,13.57,6,
pmedici,UNIFORM_ALL_23,2,7.92,831,
iposolver,UNIFORM_ALL_23,2,0.12,513,
cagen,UNIFORM_ALL_23,2,0.01,289,
appts,UNIFORM_ALL_23,2,35.13,289,
pmedici,MCA_37,2,10.31,1331,
iposolver,MCA_37,2,0.13,1031,
cagen,MCA_37,2,0.01,987,
appts,MCA_37,2,34.58,975,
pmedici,MCAC_49,2,56.98,1702,Invalid
cagen,MCAC_49,2,0.02,1429,
appts,MCAC_49,2,48.46,1421,
pmedici,MCA_3,2,30.1,3122,
iposolver,MCA_3,2,0.13,2190,
cagen,MCA_3,2,0.01,2110,
appts,MCA_3,2,45.06,2100,
pmedici,UNIFORM_ALL_29,2,6.12,467,
iposolver,UNIFORM_ALL_29,2,0.17,320,
cagen,UNIFORM_ALL_29,2,0.01,324,
appts,UNIFORM_ALL_29,2,76.73,258,
pmedici,MCA_1,2,1.78,4,
iposolver,MCA_1,2,0.0,4,
cagen,MCA_1,2,0.0,4,
appts,MCA_1,2,6.08,4,
pmedici,MCAC_20,2,1.94,5,Invalid
cagen,MCAC_20,2,0.01,4,
appts,MCAC_20,2,3.04,4,
pmedici,MCA_24,2,33.73,2841,
iposolver,MCA_24,2,0.31,2064,
cagen,MCA_24,2,0.02,2076,
appts,MCA_24,2,44.1,2064,
pmedici,MCA_17,2,3.25,504,
iposolver,MCA_17,2,0.03,480,
cagen,MCA_17,2,0.0,480,
appts,MCA_17,2,29.44,480,
pmedici,MCA_42,2,8.01,1086,
iposolver,MCA_42,2,0.12,1064,
cagen,MCA_42,2,0.01,1046,
appts,MCA_42,2,34.65,1040,
pmedici,UNIFORM_ALL_45,2,11.42,1154,
iposolver,UNIFORM_ALL_45,2,0.15,679,
cagen,UNIFORM_ALL_45,2,0.01,626,
appts,UNIFORM_ALL_45,2,100.56,561,
pmedici,UNIFORM_ALL_37,2,1.87,225,
iposolver,UNIFORM_ALL_37,2,0.0,225,
cagen,UNIFORM_ALL_37,2,0.0,225,
appts,UNIFORM_ALL_37,2,22.42,225,
pmedici,BOOLC_7,2,2.01,35,Invalid
cagen,BOOLC_7,2,0.01,10,
appts,BOOLC_7,2,13.58,8,
pmedici,UNIFORM_ALL_10,2,1.88,15,
iposolver,UNIFORM_ALL_10,2,0.0,10,
cagen,UNIFORM_ALL_10,2,0.0,9,
appts,UNIFORM_ALL_10,2,11.12,9,
pmedici,MCAC_31,2,300.11,0,Timeout
cagen,MCAC_31,2,300.01,0,Timeout
appts,MCAC_31,2,300.38,2264,
pmedici,UNIFORM_ALL_40,2,11.05,883,
iposolver,UNIFORM_ALL_40,2,0.2,568,
cagen,UNIFORM_ALL_40,2,0.01,289,
appts,UNIFORM_ALL_40,2,42.65,289,
pmedici,UNIFORM_ALL_15,2,1.82,16,
iposolver,UNIFORM_ALL_15,2,0.0,16,
cagen,UNIFORM_ALL_15,2,0.0,16,
appts,UNIFORM_ALL_15,2,11.82,16,
pmedici,MCAC_11,2,2.62,110,
cagen,MCAC_11,2,29.19,110,
appts,MCAC_11,2,12.8,110,
pmedici,UNIFORM_BOOLEAN_25,2,1.84,4,
iposolver,UNIFORM_BOOLEAN_25,2,0.0,4,
cagen,UNIFORM_BOOLEAN_25,2,0.0,4,
