ToolName,ModelName,Strength,Iteration,ErrorType,TimeSeconds,Size
pmedici,BOOLC_36,2,3,Invalid,1.97,40
iposolver,UNIFORM_BOOLEAN_2,5,1,,0.9,154
cagen,MCA_6,3,2,,0.65,86090
cagen,UNIFORM_ALL_38,3,1,,0.01,6859
cagen,UNIFORM_BOOLEAN_5,2,2,,0.0,10
cagen,MCA_11,4,1,,1.88,522490
cagen,MCA_44,4,1,,1.89,1646400
cagen,UNIFORM_BOOLEAN_15,3,1,,0.0,24
appts,UNIFORM_ALL_36,3,3,,300.11,3988
iposolver,MCA_35,3,2,,30.6,77835
appts,BOOLC_32,3,3,,2.73,19
cagen,UNIFORM_BOOLEAN_40,3,1,,0.0,12
cagen,BOOLC_14,3,1,,0.0,14
cagen,BOOLC_41,3,1,,0.01,8
cagen,UNIFORM_ALL_26,5,1,,2.72,142868
appts,MCAC_13,3,3,Timeout,300.12,0
appts,MCA_26,2,1,,49.67,2209
appts,MCAC_46,3,3,Timeout,300.14,0
pmedici,UNIFORM_BOOLEAN_34,2,1,,1.91,21
appts,MCAC_1,4,1,Timeout,300.2,0
appts,BOOLC_5,4,1,,139.16,1
iposolver,UNIFORM_ALL_4,2,2,,0.03,321
iposolver,MCA_18,2,3,,0.0,46
cagen,MCAC_33,3,2,Timeout,300.01,0
iposolver,UNIFORM_BOOLEAN_29,2,2,,0.0,4
appts,MCAC_17,3,1,,25.92,81
appts,MCA_22,2,3,,19.89,120
iposolver,MCA_8,2,1,,0.0,20
pmedici,MCAC_18,4,1,,2.25,1
cagen,BOOLC_23,4,2,,0.0,1
appts,MCAC_42,3,1,Timeout,300.13,0
pmedici,UNIFORM_BOOLEAN_30,2,3,,2.16,20
iposolver,UNIFORM_ALL_36,3,2,,0.72,4432
cagen,UNIFORM_ALL_44,2,2,,0.0,78
cagen,BOOLC_10,3,3,,0.0,18
cagen,UNIFORM_ALL_11,2,2,,0.0,121
cagen,BOOLC_45,3,3,,0.0,27
appts,BOOLC_28,5,1,,300.56,108
appts,UNIFORM_BOOLEAN_9,2,2,,6.38,4
pmedici,UNIFORM_ALL_33,2,2,,5.14,574
iposolver,MCA_49,2,1,,0.08,1102
appts,UNIFORM_BOOLEAN_26,2,2,,12.31,6
pmedici,BOOLC_32,2,1,Invalid,1.85,32
iposolver,UNIFORM_BOOLEAN_37,4,2,,0.19,71
cagen,UNIFORM_BOOLEAN_11,3,3,,0.0,20
appts,UNIFORM_ALL_32,3,1,,300.14,1605
cagen,MCA_26,3,2,,0.86,96897
cagen,UNIFORM_BOOLEAN_44,3,3,,0.0,18
appts,BOOLC_36,3,1,,88.58,18
cagen,MCA_15,4,3,,59.59,2141624
cagen,MCA_40,4,3,,0.0,480
cagen,UNIFORM_BOOLEAN_22,4,2,,0.0,28
cagen,UNIFORM_ALL_34,2,3,,0.0,40
iposolver,UNIFORM_ALL_46,3,3,,0.02,29
iposolver,UNIFORM_ALL_13,3,3,,0.01,315
cagen,BOOLC_35,3,2,,0.0,12
cagen,BOOLC_4,4,3,,0.04,88
iposolver,UNIFORM_ALL_20,4,2,Timeout,300.07,0
pmedici,UNIFORM_BOOLEAN_15,2,2,,1.83,13
pmedici,UNIFORM_BOOLEAN_40,2,2,,1.9,12
pmedici,UNIFORM_ALL_43,2,3,,9.83,674
cagen,MCAC_9,4,2,,0.57,61786
pmedici,UNIFORM_ALL_16,2,3,,1.92,15
cagen,UNIFORM_BOOLEAN_19,2,3,,0.0,10
cagen,MCAC_47,3,1,,0.0,7
cagen,MCAC_12,3,1,,0.0,190
iposolver,MCA_0,3,1,,0.0,230
iposolver,UNIFORM_BOOLEAN_21,3,2,,0.0,17
iposolver,UNIFORM_BOOLEAN_12,4,3,,0.1,64
cagen,UNIFORM_ALL_19,3,2,,0.03,724
iposolver,UNIFORM_BOOLEAN_47,4,3,,0.0,39
cagen,BOOLC_18,2,3,,0.15,5
appts,MCA_2,2,3,,25.41,94
appts,UNIFORM_BOOLEAN_1,3,2,,11.89,8
appts,UNIFORM_ALL_24,4,1,Timeout,300.43,0
appts,BOOLC_20,4,1,,191.27,49
pmedici,BOOLC_6,2,3,Invalid,1.99,28
iposolver,MCA_14,3,1,,0.27,29261
cagen,UNIFORM_ALL_5,2,2,,0.0,147
iposolver,MCA_41,3,1,,41.24,61684
cagen,UNIFORM_BOOLEAN_34,3,2,,0.0,24
iposolver,UNIFORM_BOOLEAN_16,4,1,,0.01,43
cagen,BOOLC_49,2,1,,0.0,5
pmedici,BOOLC_46,2,2,Invalid,1.98,31
iposolver,UNIFORM_BOOLEAN_43,4,1,,0.13,67
appts,MCA_6,2,1,,46.59,2200
pmedici,MCAC_27,2,2,,3.21,210
pmedici,BOOLC_13,2,2,Invalid,1.9,8
iposolver,MCA_4,3,3,,10.05,28642
appts,MCAC_9,5,1,Timeout,302.12,0
appts,UNIFORM_ALL_13,3,2,,77.72,255
pmedici,BOOLC_2,2,1,Invalid,2.0,32
appts,BOOLC_17,3,2,,38.91,17
iposolver,MCA_10,3,3,,13.31,61050
appts,UNIFORM_ALL_46,3,2,,70.36,19
appts,BOOLC_42,3,2,,21.66,6
iposolver,MCA_45,3,3,,0.0,12
pmedici,MCA_21,2,2,,30.4,2428
iposolver,MCA_23,4,2,,0.08,11088
appts,UNIFORM_BOOLEAN_19,4,1,,91.84,34
appts,MCAC_36,3,2,Timeout,300.16,0
cagen,UNIFORM_ALL_30,2,1,,0.0,121
iposolver,UNIFORM_ALL_17,3,1,,0.0,146
cagen,BOOLC_0,4,1,,0.01,37
pmedici,UNIFORM_BOOLEAN_22,5,1,,1.95,46
cagen,MCAC_43,3,3,Timeout,300.0,0
cagen,MCAC_16,3,3,,2.73,146207
cagen,MCA_19,5,1,Timeout,300.03,0
pmedici,UNIFORM_ALL_47,2,1,,8.5,730
cagen,UNIFORM_BOOLEAN_48,2,1,,0.0,10
pmedici,UNIFORM_ALL_12,2,1,,1.88,17
pmedici,UNIFORM_BOOLEAN_12,2,2,,1.94,16
iposolver,UNIFORM_ALL_27,4,2,,100.34,241238
pmedici,UNIFORM_BOOLEAN_47,2,2,,1.89,15
cagen,UNIFORM_ALL_33,2,3,,0.01,334
iposolver,UNIFORM_ALL_41,3,3,,0.14,102
appts,UNIFORM_BOOLEAN_29,3,2,,11.37,8
cagen,BOOLC_32,3,2,,0.0,18
cagen,BOOLC_3,4,3,,0.0,42
iposolver,UNIFORM_ALL_14,3,3,,0.09,3084
cagen,MCAC_40,3,1,,0.01,85
cagen,MCAC_15,3,1,Timeout,300.0,0
appts,BOOLC_39,2,1,,12.2,6
pmedici,UNIFORM_ALL_44,2,3,,2.19,100
cagen,MCA_29,2,2,,0.03,1934
pmedici,UNIFORM_ALL_11,2,3,,2.78,319
iposolver,UNIFORM_BOOLEAN_15,4,3,,0.1,67
appts,MCA_5,2,3,,45.79,1987
iposolver,UNIFORM_ALL_39,2,2,,0.23,471
iposolver,UNIFORM_BOOLEAN_40,4,3,,0.0,16
pmedici,BOOLC_23,5,1,,2.1,1
pmedici,MCAC_17,5,1,,2.59,180
iposolver,MCA_7,3,1,,0.35,10870
appts,MCAC_18,2,1,,4.81,1
iposolver,UNIFORM_BOOLEAN_26,3,2,,0.0,17
iposolver,MCA_13,3,1,,19.16,58944
pmedici,BOOLC_1,2,3,Invalid,2.02,31
iposolver,MCA_46,3,1,,8.83,20201
cagen,UNIFORM_BOOLEAN_33,3,2,,0.0,24
cagen,UNIFORM_ALL_2,2,2,,0.01,352
appts,UNIFORM_BOOLEAN_6,3,2,,32.08,16
appts,BOOLC_27,4,1,,47.89,33
appts,UNIFORM_ALL_23,4,1,Timeout,300.21,0
cagen,MCA_37,4,2,,10.17,491905
appts,MCAC_49,2,3,,48.46,1421
iposolver,MCA_3,3,3,,6.71,81422
appts,MCA_29,3,1,,300.22,54209
cagen,UNIFORM_ALL_29,4,1,,8.57,97655
pmedici,BOOLC_41,2,2,Invalid,2.04,17
iposolver,UNIFORM_BOOLEAN_11,4,1,,0.01,48
appts,MCA_1,2,1,,6.08,4
pmedici,BOOLC_14,2,2,Invalid,2.06,27
pmedici,MCAC_20,2,2,Invalid,2.02,6
iposolver,UNIFORM_BOOLEAN_44,4,1,,0.0,39
iposolver,MCA_24,4,2,Timeout,300.14,0
pmedici,MCA_26,2,2,,61.58,4072
appts,BOOLC_10,3,2,,24.59,16
iposolver,MCA_17,3,3,,1.92,7268
pmedici,BOOLC_5,2,1,,2.2,1
appts,UNIFORM_ALL_14,3,2,,300.14,2667
appts,BOOLC_45,3,2,,3.46,28
iposolver,MCA_42,3,3,,12.8,23469
appts,UNIFORM_ALL_41,3,2,,73.15,77
cagen,MCA_9,2,2,,0.02,2350
iposolver,UNIFORM_ALL_45,3,1,,17.52,19318
cagen,UNIFORM_ALL_37,2,1,,0.0,225
cagen,BOOLC_7,4,1,,0.02,59
iposolver,UNIFORM_ALL_10,3,1,,0.0,31
appts,MCA_37,5,1,Timeout,302.3,0
appts,MCAC_31,3,2,Timeout,300.15,0
appts,UNIFORM_ALL_39,2,3,,196.47,382
pmedici,UNIFORM_ALL_40,2,1,,11.05,883
pmedici,UNIFORM_ALL_15,2,1,,1.95,16
cagen,MCAC_11,3,3,,29.23,111
pmedici,BOOLC_27,2,1,Invalid,2.03,32
pmedici,MCAC_13,2,1,Invalid,4.56,470
cagen,BOOLC_28,2,2,,0.0,10
appts,UNIFORM_BOOLEAN_33,2,2,,13.72,8
appts,MCAC_49,5,1,Timeout,302.4,0
iposolver,MCA_3,4,1,,216.1,2657524
pmedici,MCAC_46,2,1,Timeout,300.13,0
iposolver,UNIFORM_BOOLEAN_22,4,2,,0.0,29
cagen,UNIFORM_ALL_29,3,3,,0.26,5798
iposolver,UNIFORM_BOOLEAN_11,3,3,,0.0,20
iposolver,UNIFORM_BOOLEAN_44,3,3,,0.0,18
appts,BOOLC_23,3,1,,3.75,1
appts,UNIFORM_ALL_27,3,1,,300.11,10550
iposolver,MCA_17,4,1,,87.75,72056
pmedici,MCA_15,2,1,,34.57,2894
iposolver,MCA_42,4,1,Timeout,300.01,0
pmedici,MCA_40,2,1,,1.92,120
cagen,UNIFORM_BOOLEAN_37,4,2,,0.01,63
iposolver,UNIFORM_ALL_45,4,3,Timeout,300.07,0
pmedici,UNIFORM_BOOLEAN_25,2,3,,1.84,4
cagen,BOOLC_36,4,2,,0.01,69
pmedici,BOOLC_39,4,1,Invalid,1.85,43
cagen,BOOLC_7,3,3,,0.02,24
appts,MCA_37,2,3,,35.27,975
iposolver,UNIFORM_ALL_10,4,3,,0.0,81
iposolver,UNIFORM_ALL_23,3,2,,13.19,12688
appts,UNIFORM_ALL_39,5,1,Timeout,302.1,0
cagen,UNIFORM_BOOLEAN_29,2,2,,0.0,4
pmedici,UNIFORM_ALL_26,2,2,,2.31,194
cagen,MCAC_11,4,1,,29.27,111
iposolver,UNIFORM_ALL_41,4,1,,2.44,397
cagen,UNIFORM_ALL_33,5,1,Timeout,300.0,0
cagen,BOOLC_3,3,1,,0.0,20
iposolver,UNIFORM_BOOLEAN_9,3,1,,0.0,8
pmedici,UNIFORM_BOOLEAN_21,2,1,,1.97,15
iposolver,UNIFORM_ALL_14,4,1,,0.46,35145
appts,MCA_33,2,1,,26.83,205
cagen,MCAC_40,4,3,,0.01,85
cagen,MCAC_26,3,2,Timeout,300.0,0
iposolver,UNIFORM_BOOLEAN_15,3,1,,0.02,27
appts,MCA_5,5,1,Timeout,303.36,0
iposolver,UNIFORM_BOOLEAN_40,3,1,,0.0,12
pmedici,MCAC_17,2,3,Invalid,1.92,49
pmedici,BOOLC_23,2,3,,2.03,1
iposolver,MCA_7,4,3,,3.55,54370
pmedici,MCAC_42,2,3,Invalid,63.52,1832
pmedici,MCA_11,2,3,,10.05,1983
iposolver,MCA_13,4,3,Timeout,300.04,0
pmedici,BOOLC_1,5,1,Invalid,8.03,131
pmedici,MCA_44,2,3,,22.29,3760
iposolver,MCA_46,4,3,Timeout,300.0,0
appts,BOOLC_27,3,3,,28.33,14
iposolver,MCA_20,3,2,,3.67,55442
appts,UNIFORM_ALL_23,3,3,,300.12,11932
iposolver,UNIFORM_BOOLEAN_16,3,3,,0.0,20
appts,MCA_48,3,2,,259.4,13120
iposolver,UNIFORM_BOOLEAN_43,3,3,,0.02,27
cagen,UNIFORM_ALL_48,4,2,,0.0,625
iposolver,MCA_4,4,1,Timeout,300.02,0
pmedici,MCAC_14,2,1,Invalid,5.05,1054
pmedici,BOOLC_20,2,1,Invalid,2.07,36
appts,MCAC_9,2,3,,55.9,2200
appts,UNIFORM_BOOLEAN_34,2,2,,13.56,8
pmedici,MCAC_41,2,1,Invalid,45.08,3132
pmedici,MCA_12,2,1,,22.26,2616
iposolver,MCA_10,4,1,Timeout,300.0,0
pmedici,MCA_47,2,1,,2.43,378
iposolver,MCA_45,4,1,,0.0,16
cagen,UNIFORM_BOOLEAN_30,4,2,,0.0,50
appts,UNIFORM_ALL_20,3,1,,300.14,21497
cagen,MCA_34,3,2,,0.12,43680
appts,BOOLC_24,3,1,,13.73,8
iposolver,UNIFORM_ALL_24,3,2,,11.43,9233
appts,UNIFORM_BOOLEAN_19,3,3,,31.83,16
appts,MCA_30,2,3,,12.12,12
iposolver,UNIFORM_ALL_17,4,3,,0.0,625
cagen,BOOLC_31,4,2,,0.8,12
pmedici,UNIFORM_BOOLEAN_22,2,3,,1.94,12
cagen,BOOLC_0,3,3,,0.01,21
pmedici,UNIFORM_ALL_21,2,2,,2.2,246
cagen,MCAC_16,4,1,Timeout,300.01,0
cagen,MCA_19,2,3,,0.01,1813
iposolver,UNIFORM_ALL_46,4,1,,0.22,71
cagen,UNIFORM_ALL_34,5,1,,0.08,3689
iposolver,UNIFORM_ALL_13,4,1,,0.02,1576
appts,MCA_34,2,1,,42.19,1680
cagen,BOOLC_4,3,1,,0.02,32
pmedici,UNIFORM_BOOLEAN_26,2,1,,1.94,15
appts,UNIFORM_BOOLEAN_48,3,1,,36.0,16
cagen,MCAC_21,3,2,,295.69,16774
pmedici,UNIFORM_ALL_16,5,1,,11.19,198
cagen,UNIFORM_BOOLEAN_19,5,1,,0.01,123
cagen,MCAC_47,4,3,,0.0,7
cagen,MCA_48,2,1,,0.0,1312
cagen,MCAC_12,4,3,,0.0,228
iposolver,MCA_0,4,3,,0.0,460
pmedici,UNIFORM_BOOLEAN_38,4,1,,1.98,60
pmedici,BOOLC_24,2,3,Invalid,1.81,4
pmedici,MCAC_10,2,3,Invalid,14.98,1854
pmedici,MCAC_45,2,3,Invalid,7.92,1683
iposolver,UNIFORM_BOOLEAN_12,3,1,,0.02,25
iposolver,UNIFORM_BOOLEAN_47,3,1,,0.0,18
cagen,BOOLC_18,5,1,,0.14,6
appts,UNIFORM_ALL_24,3,3,,300.14,8635
appts,BOOLC_20,3,3,,55.82,19
iposolver,MCA_27,3,2,,0.01,1410
pmedici,BOOLC_6,5,1,Invalid,7.78,70
iposolver,MCA_14,4,3,,0.58,61011
pmedici,MCA_16,2,3,,1.89,8
iposolver,UNIFORM_ALL_8,4,2,,2.43,124072
appts,BOOLC_9,2,1,,15.28,9
iposolver,MCA_41,4,3,Timeout,300.04,0
pmedici,MCA_43,2,3,,16.06,2733
cagen,UNIFORM_ALL_22,2,1,,0.01,361
pmedici,UNIFORM_BOOLEAN_30,5,1,,2.59,128
appts,MCAC_5,3,1,Timeout,300.14,0
cagen,BOOLC_10,4,1,,0.0,41
cagen,BOOLC_45,4,1,,0.01,67
appts,MCAC_24,3,2,,300.18,39146
cagen,MCAC_37,4,2,,0.13,8
appts,BOOLC_28,2,3,,13.48,7
appts,BOOLC_1,3,1,,29.83,16
pmedici,UNIFORM_BOOLEAN_5,2,1,,1.94,11
iposolver,UNIFORM_BOOLEAN_6,2,1,,0.0,9
pmedici,UNIFORM_ALL_6,2,2,,2.12,211
appts,UNIFORM_BOOLEAN_40,2,1,,10.2,6
pmedici,MCAC_35,2,2,Timeout,300.14,0
appts,UNIFORM_BOOLEAN_15,2,1,,12.36,8
cagen,UNIFORM_BOOLEAN_11,4,1,,0.0,44
cagen,MCAC_29,2,2,Timeout,300.0,0
pmedici,MCA_33,2,2,,1.92,205
cagen,UNIFORM_BOOLEAN_44,4,1,,0.0,38
cagen,MCA_15,3,1,,0.72,73131
cagen,MCA_40,3,1,,0.0,240
appts,UNIFORM_BOOLEAN_44,2,3,,11.33,6
appts,UNIFORM_ALL_5,3,2,,300.15,1622
appts,UNIFORM_BOOLEAN_11,2,3,,13.09,6
appts,MCA_38,3,3,,300.25,73500
iposolver,UNIFORM_BOOLEAN_2,2,3,,0.0,11
cagen,BOOLC_8,2,3,,0.0,8
pmedici,BOOLC_36,5,1,Invalid,10.91,192
iposolver,UNIFORM_BOOLEAN_33,3,2,,0.02,27
cagen,MCA_11,3,3,,0.14,34830
cagen,MCA_44,3,3,,0.16,102900
cagen,UNIFORM_BOOLEAN_26,3,2,,0.0,16
cagen,UNIFORM_BOOLEAN_15,4,3,,0.01,57
appts,UNIFORM_ALL_36,4,1,,300.14,65199
cagen,MCAC_5,2,2,,61.5,2172
cagen,UNIFORM_BOOLEAN_40,4,3,,0.0,16
appts,BOOLC_32,4,1,,3.27,37
iposolver,UNIFORM_ALL_32,4,2,,0.22,18630
appts,MCA_15,2,2,,45.29,1980
cagen,BOOLC_14,4,3,,0.0,30
appts,MCA_40,2,2,,25.89,120
cagen,BOOLC_41,4,3,,0.01,8
cagen,UNIFORM_ALL_26,2,3,,0.0,107
pmedici,MCAC_49,3,1,Timeout,300.14,0
appts,MCAC_13,4,1,Timeout,300.14,0
pmedici,BOOLC_28,3,1,Invalid,2.04,41
appts,MCAC_1,3,3,,63.8,24
cagen,BOOLC_27,3,2,,0.0,21
appts,MCAC_46,4,1,Timeout,300.29,0
cagen,UNIFORM_ALL_9,4,2,,0.7,16714
appts,BOOLC_5,3,3,,11.31,1
pmedici,UNIFORM_BOOLEAN_1,2,3,,1.99,8
appts,UNIFORM_ALL_28,2,1,,72.2,140
cagen,BOOLC_17,4,1,,0.09,63
iposolver,UNIFORM_BOOLEAN_48,2,1,,0.0,9
appts,MCAC_23,3,2,,221.44,33
cagen,BOOLC_42,4,1,,0.02,6
cagen,UNIFORM_ALL_25,2,1,,0.0,15
pmedici,UNIFORM_BOOLEAN_37,5,1,,8.36,186
appts,MCAC_2,3,1,,300.21,56304
appts,MCA_25,5,1,,301.78,5468400
appts,BOOLC_6,3,1,Invalid,31.68,29
pmedici,UNIFORM_BOOLEAN_2,2,1,,1.81,11
pmedici,BOOLC_9,4,1,Invalid,4.15,122
iposolver,MCA_28,2,2,,0.02,1318
cagen,MCAC_30,4,2,,111.27,4774559
appts,UNIFORM_BOOLEAN_47,2,1,,11.34,6
pmedici,MCAC_32,2,2,,84.36,289
appts,UNIFORM_BOOLEAN_12,2,1,,14.34,7
pmedici,UNIFORM_BOOLEAN_29,3,1,,1.98,8
pmedici,UNIFORM_ALL_1,2,2,,23.63,1365
iposolver,UNIFORM_BOOLEAN_1,2,1,,0.0,4
iposolver,UNIFORM_ALL_49,5,1,Timeout,300.1,0
cagen,MCA_5,4,2,,91.04,3399636
cagen,MCA_12,3,1,,0.21,57485
cagen,MCA_47,3,1,,0.01,1890
cagen,UNIFORM_BOOLEAN_16,4,1,,0.0,44
pmedici,UNIFORM_ALL_19,4,1,Timeout,300.13,0
iposolver,MCA_36,4,2,,108.43,511495
pmedici,MCA_34,2,2,,9.84,1891
cagen,UNIFORM_BOOLEAN_43,4,1,,0.01,57
iposolver,UNIFORM_BOOLEAN_5,2,3,,0.0,9
pmedici,BOOLC_31,5,1,,5.03,12
iposolver,UNIFORM_BOOLEAN_34,3,2,,0.02,27
appts,UNIFORM_BOOLEAN_43,2,3,,14.14,8
appts,UNIFORM_BOOLEAN_16,2,3,,12.76,6
appts,UNIFORM_ALL_2,3,2,,300.12,7360
cagen,UNIFORM_BOOLEAN_12,4,3,,0.0,56
appts,BOOLC_35,4,1,,27.35,20
cagen,UNIFORM_BOOLEAN_47,4,3,,0.0,38
cagen,MCAC_2,2,2,,0.03,1664
appts,UNIFORM_ALL_31,4,1,,134.25,24
cagen,MCA_25,4,2,,1.13,911400
cagen,MCA_16,3,3,,0.0,8
cagen,UNIFORM_BOOLEAN_21,3,2,,0.0,16
cagen,MCA_43,3,3,,0.31,71466
appts,MCAC_14,4,1,Invalid,300.28,142115
cagen,UNIFORM_ALL_21,2,3,,0.0,156
appts,MCAC_6,3,3,Timeout,300.15,0
appts,MCAC_41,4,1,Timeout,300.25,0
cagen,BOOLC_20,3,2,,0.0,28
cagen,BOOLC_13,4,3,,0.0,9
iposolver,UNIFORM_ALL_35,4,2,Timeout,300.07,0
appts,MCA_12,2,2,,40.17,1596
cagen,BOOLC_46,4,3,,0.0,41
iposolver,UNIFORM_BOOLEAN_19,2,3,,0.0,9
appts,MCA_47,2,2,,29.0,378
pmedici,MCA_48,3,1,,169.07,13198
appts,BOOLC_2,3,3,,31.38,15
pmedici,UNIFORM_BOOLEAN_6,2,3,,1.9,25
cagen,UNIFORM_BOOLEAN_18,2,2,,0.0,8
pmedici,UNIFORM_ALL_17,2,2,,1.89,43
iposolver,MCA_38,2,1,,0.11,2166
cagen,MCAC_8,4,3,Timeout,300.0,0
cagen,MCAC_20,4,1,,0.01,4
pmedici,UNIFORM_ALL_42,2,2,,2.06,256
appts,MCAC_33,3,1,Timeout,300.18,0
pmedici,UNIFORM_BOOLEAN_41,2,3,,1.91,12
pmedici,UNIFORM_BOOLEAN_14,2,3,,1.78,23
iposolver,UNIFORM_ALL_21,4,3,,0.06,20736
cagen,BOOLC_5,4,2,,0.15,1
cagen,BOOLC_34,3,3,,19.23,29
iposolver,UNIFORM_ALL_12,3,2,,0.02,29
iposolver,UNIFORM_ALL_47,3,2,,30.02,10395
cagen,UNIFORM_ALL_35,2,2,,0.01,361
appts,BOOLC_47,3,1,Invalid,170.66,29
cagen,UNIFORM_BOOLEAN_35,3,3,,0.0,22
cagen,UNIFORM_ALL_4,2,3,,0.0,308
iposolver,UNIFORM_ALL_9,3,1,,1.79,1637
appts,UNIFORM_ALL_43,3,1,,300.13,8988
appts,BOOLC_12,3,1,,34.92,4
pmedici,BOOLC_7,2,2,Invalid,2.04,39
appts,UNIFORM_ALL_16,3,1,,44.93,20
iposolver,MCA_26,4,1,Timeout,300.12,0
pmedici,MCA_24,2,1,,34.82,2846
pmedici,MCAC_3,4,1,,2.08,194
appts,UNIFORM_BOOLEAN_0,3,3,,23.78,12
cagen,BOOLC_19,2,2,,247.45,15
appts,MCA_3,2,2,,48.4,2100
pmedici,BOOLC_16,2,1,Invalid,2.09,14
pmedici,MCAC_22,2,1,Invalid,171.57,2498
iposolver,UNIFORM_BOOLEAN_46,4,2,,0.01,51
pmedici,BOOLC_43,2,1,Invalid,2.2,38
cagen,UNIFORM_ALL_18,3,3,,0.12,3112
iposolver,UNIFORM_BOOLEAN_13,4,2,,0.04,59
iposolver,UNIFORM_BOOLEAN_20,3,3,,0.0,8
pmedici,MCA_20,2,3,,11.24,2165
cagen,MCA_35,4,1,,12.81,1245725
appts,UNIFORM_BOOLEAN_4,3,1,,24.34,12
iposolver,MCA_44,3,2,,1.4,102900
cagen,UNIFORM_BOOLEAN_31,3,1,,0.0,20
appts,BOOLC_43,3,3,Invalid,62.77,21
appts,UNIFORM_ALL_47,3,3,,300.13,9780
pmedici,MCA_9,2,1,,67.3,4389
cagen,UNIFORM_ALL_0,2,1,,0.0,220
iposolver,MCA_11,3,2,,3.02,34831
appts,BOOLC_16,3,3,,12.45,9
appts,UNIFORM_ALL_12,3,3,,57.71,18
iposolver,UNIFORM_BOOLEAN_24,3,1,,0.04,30
appts,UNIFORM_BOOLEAN_35,5,1,,300.57,84
iposolver,MCA_5,3,2,,66.64,99439
pmedici,MCAC_26,2,3,Invalid,10.14,2098
pmedici,BOOLC_12,2,3,,1.97,4
cagen,UNIFORM_ALL_49,3,1,,0.08,2893
pmedici,BOOLC_47,2,3,Invalid,2.17,37
appts,MCA_49,4,1,Timeout,300.3,0
cagen,MCAC_24,4,3,,6.25,666908
cagen,MCAC_17,3,2,,0.0,83
cagen,MCAC_42,3,2,Timeout,300.0,0
cagen,BOOLC_30,3,1,Timeout,300.0,0
appts,MCAC_37,3,3,,20.13,8
pmedici,UNIFORM_BOOLEAN_45,2,1,,1.93,15
pmedici,UNIFORM_BOOLEAN_10,2,1,,1.87,13
iposolver,UNIFORM_ALL_25,4,1,,0.04,217
pmedici,UNIFORM_ALL_10,2,2,,1.93,19
cagen,MCAC_27,4,1,,0.18,210
